run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,300,4.2977,4.8486,4.8464,1.0000,0.0583,0.0620,0.7059,4.8577,4.8545,1.0000,0.0582,0.0619
1,2,433,2,0.27,300,4.3219,4.7686,4.7695,0.5000,0.0583,0.0620,0.0000,5.3553,5.3675,1.0000,0.2233,0.2222
2,3,310,1,0.38,300,4.3458,4.7663,4.7639,0.3333,0.0446,0.0503,0.0220,4.2433,4.2452,1.0000,0.2276,0.2264
3,4,300,1,0.42,300,4.3692,4.7506,4.7481,0.2500,0.0446,0.0503,0.0303,4.2156,4.2170,1.0000,0.2376,0.2378
4,5,1009,2,0.39,300,4.3923,4.7222,4.7209,0.2000,0.0446,0.0503,0.0003,6.6838,6.6707,1.0000,0.2389,0.2374
5,6,657,2,0.41000000000000003,300,4.4150,4.7348,4.7336,0.1667,0.0446,0.0503,0.0012,6.1042,6.0985,1.0000,0.2308,0.2291
6,8,455,2,0.23,300,4.2519,4.6811,4.6806,0.2500,0.0583,0.0620,0.0014,7.3808,7.3384,1.0000,0.2278,0.2271
7,9,103,2,0.09,300,4.1432,4.6454,4.6466,0.3333,0.1781,0.1729,0.0320,5.3340,5.3227,1.0000,0.2255,0.2256
8,12,203,2,0.14,300,4.1418,4.6337,4.6370,0.3333,0.1781,0.1729,0.0091,6.7232,6.7118,1.0000,0.2323,0.2317
9,14,150,1,0.31,300,4.1214,4.6303,4.6342,0.2857,0.1781,0.1729,0.2472,4.8342,4.8399,1.0000,0.2683,0.2652
10,18,72,0,0.15,300,4.1796,4.6243,4.6241,0.2222,0.1781,0.1729,1.3304,4.0857,4.0925,1.0000,0.2961,0.2976
11,22,467,2,0.27,300,4.1782,4.6000,4.5996,0.1818,0.1781,0.1729,0.0141,7.7711,7.7190,1.0000,0.3151,0.3144
12,27,377,2,0.5,300,4.2565,4.6206,4.6202,0.1481,0.1781,0.1729,0.3145,6.5683,6.5258,1.0000,0.3124,0.3130
13,33,436,0,0.44,300,4.1645,4.5883,4.5889,0.1515,0.1781,0.1729,1.4190,3.9999,4.0048,1.0000,0.3114,0.3132
14,41,382,0,0.1,300,4.2582,4.4588,4.4636,0.1463,0.1781,0.1729,0.8442,3.6549,3.6663,1.0000,0.3643,0.3643
15,51,326,2,0.5,300,4.1912,4.4159,4.4210,0.1569,0.1781,0.1729,0.7702,4.0527,4.0586,0.8824,0.3505,0.3519
16,63,326,2,0.49,300,4.0539,4.3584,4.3662,0.2063,0.1781,0.1729,0.7605,4.2770,4.2804,0.8889,0.3618,0.3614
17,77,247,2,0.44,300,4.0918,4.2848,4.2927,0.1818,0.1781,0.1729,0.9501,3.8835,3.8820,0.8961,0.3876,0.3817
18,96,179,2,0.05,300,4.0469,4.2124,4.2215,0.1771,0.1781,0.1729,0.3821,3.8791,3.8811,0.9583,0.4284,0.4215
19,118,137,2,0.02,300,4.0593,4.2202,4.2295,0.1780,0.1781,0.1729,0.6613,3.3937,3.4107,0.9237,0.4244,0.4222
20,146,786,2,0.23,300,3.9710,4.1624,4.1727,0.1918,0.1781,0.1729,0.0239,4.2363,4.2452,1.0000,0.4726,0.4680
21,180,410,1,0.31,300,3.9271,4.1401,4.1505,0.2000,0.1781,0.1729,0.7060,2.9826,2.9844,0.9333,0.4810,0.4785
22,223,388,1,0.37,300,3.9568,4.1036,4.1137,0.1883,0.1781,0.1729,0.1331,2.7204,2.7181,1.0000,0.5126,0.5135
23,276,38,2,0.25,300,3.9372,4.0926,4.1043,0.1957,0.1781,0.1729,1.1351,2.9270,2.9522,0.8551,0.4547,0.4515
24,341,467,1,0.41000000000000003,300,3.9166,4.0885,4.0990,0.1906,0.1781,0.1729,0.1711,2.6237,2.6344,0.9941,0.5381,0.5353
25,421,176,0,0.09,300,3.9630,4.0733,4.0849,0.1829,0.1781,0.1729,0.5650,2.4772,2.4942,0.9929,0.5375,0.5352
26,520,57,2,0.02,300,3.9760,4.0688,4.0818,0.1769,0.1781,0.1729,0.9989,2.5906,2.6127,0.8577,0.5223,0.5225
27,642,968,2,0.15,300,3.9504,4.0634,4.0783,0.1869,0.1781,0.1729,0.0820,3.0689,3.1174,1.0000,0.5937,0.5893
28,794,268,0,0.01,300,3.9443,4.0604,4.0750,0.1864,0.1781,0.1729,0.6564,2.2759,2.2983,0.9824,0.5774,0.5735
29,981,270,0,0.3,300,3.9348,4.0653,4.0794,0.1865,0.1781,0.1729,0.5631,2.1310,2.1584,0.9725,0.6054,0.6014
30,1212,596,2,0.24,300,3.9375,4.0690,4.0847,0.1873,0.1781,0.1729,0.7449,2.2033,2.2606,0.8721,0.6134,0.6064
31,1498,694,0,0.49,300,3.9606,4.0735,4.0909,0.1883,0.1781,0.1729,0.6331,1.9983,2.0318,0.9439,0.6355,0.6294
32,1851,837,0,0.48,300,3.9618,4.0754,4.0932,0.1880,0.1781,0.1729,0.6202,1.9242,1.9523,0.9373,0.6522,0.6490
33,2287,487,2,0.4,300,3.9453,4.0810,4.0992,0.1928,0.1781,0.1729,0.6242,1.8699,1.9133,0.8806,0.6715,0.6730
34,2826,418,0,0.11,300,3.9428,4.0884,4.1073,0.1921,0.1781,0.1729,0.6408,1.8159,1.8421,0.9264,0.6714,0.6687
35,3492,407,0,0.05,300,3.9432,4.0932,4.1125,0.1913,0.1781,0.1729,0.6338,1.7736,1.7982,0.9207,0.6775,0.6769
36,4315,657,0,0.0,300,3.9368,4.1014,4.1211,0.1910,0.1781,0.1729,0.7622,1.7050,1.7334,0.8848,0.6980,0.6961
37,5332,442,1,0.22,300,3.9415,4.1022,4.1225,0.1885,0.1781,0.1729,0.6794,1.6126,1.6560,0.8768,0.7127,0.7110
38,6589,398,1,0.37,300,3.9428,4.1075,4.1284,0.1867,0.1781,0.1729,0.5581,1.5019,1.5486,0.8951,0.7371,0.7316
