run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,272,4.2977,4.8486,4.8464,1.0000,0.0583,0.0620,0.0002,5.1186,5.1205,1.0000,0.0348,0.0350
1,2,433,2,0.27,145,4.3219,4.7686,4.7695,0.5000,0.0583,0.0620,0.0000,5.9695,5.9882,1.0000,0.1610,0.1595
2,3,310,1,0.38,182,4.3458,4.7663,4.7639,0.3333,0.0446,0.0503,0.0002,4.5305,4.5342,1.0000,0.1792,0.1776
3,4,300,1,0.42,205,4.3692,4.7506,4.7481,0.2500,0.0446,0.0503,0.0004,4.5327,4.5367,1.0000,0.1237,0.1233
4,5,1009,2,0.39,134,4.3923,4.7222,4.7209,0.2000,0.0446,0.0503,0.0000,8.1844,8.2050,1.0000,0.1454,0.1460
5,6,657,2,0.41000000000000003,245,4.4150,4.7348,4.7336,0.1667,0.0446,0.0503,0.0000,5.7137,5.7304,1.0000,0.1295,0.1234
6,8,455,2,0.23,133,4.2519,4.6811,4.6806,0.2500,0.0583,0.0620,0.0000,5.8089,5.8280,1.0000,0.1879,0.1860
7,9,103,2,0.09,108,4.1432,4.6454,4.6466,0.3333,0.1781,0.1729,0.0024,4.3196,4.3282,1.0000,0.1851,0.1833
8,12,203,2,0.14,93,4.1418,4.6337,4.6370,0.3333,0.1781,0.1729,0.0007,5.0609,5.0925,1.0000,0.1935,0.1889
9,14,150,1,0.31,212,4.1214,4.6303,4.6342,0.2857,0.1781,0.1729,0.0019,4.1720,4.1879,1.0000,0.2099,0.2068
10,18,72,0,0.15,103,4.1796,4.6243,4.6241,0.2222,0.1781,0.1729,0.0326,4.3904,4.4160,1.0000,0.2276,0.2221
11,22,467,2,0.27,113,4.1782,4.6000,4.5996,0.1818,0.1781,0.1729,0.0002,5.5952,5.5950,1.0000,0.2333,0.2300
12,27,377,2,0.5,99,4.2565,4.6206,4.6202,0.1481,0.1781,0.1729,0.0047,5.0093,5.0178,1.0000,0.2386,0.2321
13,33,436,0,0.44,148,4.1645,4.5883,4.5889,0.1515,0.1781,0.1729,0.0291,4.3819,4.3919,1.0000,0.2281,0.2258
14,41,382,0,0.1,165,4.2582,4.4588,4.4636,0.1463,0.1781,0.1729,0.0586,4.3108,4.3169,1.0000,0.2425,0.2394
15,51,326,2,0.5,60,4.1912,4.4159,4.4210,0.1569,0.1781,0.1729,0.0842,4.1962,4.2197,1.0000,0.2680,0.2635
16,63,326,2,0.49,84,4.0539,4.3584,4.3662,0.2063,0.1781,0.1729,0.0335,4.1316,4.1667,1.0000,0.2684,0.2657
17,77,247,2,0.44,238,4.0918,4.2848,4.2927,0.1818,0.1781,0.1729,0.0015,3.9230,3.9462,1.0000,0.2854,0.2801
18,96,179,2,0.05,122,4.0469,4.2124,4.2215,0.1771,0.1781,0.1729,0.0033,4.2176,4.2269,1.0000,0.2893,0.2887
19,118,137,2,0.02,144,4.0593,4.2202,4.2295,0.1780,0.1781,0.1729,0.0063,4.0016,4.0292,1.0000,0.3048,0.2986
20,146,786,2,0.23,79,3.9710,4.1624,4.1727,0.1918,0.1781,0.1729,0.0004,5.5076,5.5346,1.0000,0.3061,0.3045
21,180,410,1,0.31,159,3.9271,4.1401,4.1505,0.2000,0.1781,0.1729,0.0077,3.8976,3.9110,1.0000,0.3243,0.3200
22,223,388,1,0.37,154,3.9568,4.1036,4.1137,0.1883,0.1781,0.1729,0.0137,3.7840,3.7896,1.0000,0.3277,0.3259
23,276,38,2,0.25,148,3.9372,4.0926,4.1043,0.1957,0.1781,0.1729,1.4006,3.4737,3.4829,0.8297,0.3135,0.3064
24,341,467,1,0.41000000000000003,115,3.9166,4.0885,4.0990,0.1906,0.1781,0.1729,0.0520,3.8855,3.9395,1.0000,0.3288,0.3266
