run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,768,5.0150,5.5224,5.5219,1.0000,0.1325,0.1333,0.0000,5.9056,5.8918,1.0000,0.1325,0.1333
1,2,433,2,0.27,768,5.0297,5.5319,5.5304,0.5000,0.0092,0.0109,0.0000,8.7514,8.6742,1.0000,0.1172,0.1202
2,3,310,1,0.38,768,4.7677,5.4915,5.4897,0.6667,0.1325,0.1333,0.0002,7.7030,7.6557,1.0000,0.1339,0.1349
3,4,300,1,0.42,768,4.8514,5.4744,5.4744,0.5000,0.1325,0.1333,0.0004,7.4185,7.3603,1.0000,0.1491,0.1482
4,5,1009,2,0.39,768,4.9072,5.4385,5.4386,0.4000,0.1325,0.1333,0.0000,10.9694,10.8970,1.0000,0.1608,0.1628
5,6,657,2,0.41000000000000003,768,4.9491,5.4467,5.4476,0.3333,0.1325,0.1333,0.0000,7.5064,7.4754,1.0000,0.1629,0.1650
6,8,455,2,0.23,768,4.9080,5.4397,5.4411,0.2500,0.0092,0.0109,0.0000,8.2837,8.2586,1.0000,0.1476,0.1530
7,10,103,2,0.09,768,4.7008,5.4216,5.4221,0.3000,0.0092,0.0109,0.0013,5.8997,5.9133,1.0000,0.1559,0.1603
8,13,203,2,0.14,768,4.5678,5.3785,5.3780,0.3077,0.0092,0.0109,0.0003,6.1320,6.1445,1.0000,0.2195,0.2192
9,16,150,1,0.31,768,4.6705,5.3296,5.3292,0.2500,0.0092,0.0109,0.0022,5.1197,5.1343,1.0000,0.2414,0.2385
10,21,72,0,0.15,768,4.6939,5.2563,5.2569,0.1905,0.0092,0.0109,0.0011,5.0519,5.0626,1.0000,0.2639,0.2684
11,26,467,2,0.27,768,4.5853,5.2066,5.2091,0.1923,0.1325,0.1333,0.0003,5.9701,5.9707,1.0000,0.2797,0.2799
12,33,377,2,0.5,768,4.4091,5.1400,5.1428,0.2121,0.1325,0.1333,0.0019,6.9808,6.9803,1.0000,0.2874,0.2859
13,42,436,0,0.44,768,4.5329,5.0996,5.1013,0.1667,0.1325,0.1333,0.0339,5.0843,5.0632,1.0000,0.3105,0.3134
14,53,382,0,0.1,768,4.5302,5.0520,5.0532,0.1887,0.1325,0.1333,0.0109,5.0665,5.0644,1.0000,0.3440,0.3445
15,67,326,2,0.5,768,4.5732,5.0467,5.0505,0.1642,0.1325,0.1333,0.0082,5.4198,5.4032,1.0000,0.3820,0.3862
16,84,326,2,0.49,768,4.4723,4.9956,4.9975,0.1548,0.0871,0.0859,0.0087,5.0262,4.9879,1.0000,0.3779,0.3821
17,106,247,2,0.44,768,4.5024,4.9224,4.9228,0.1415,0.0871,0.0859,0.0152,4.1867,4.1665,1.0000,0.4130,0.4184
18,134,179,2,0.05,768,4.4543,4.8790,4.8771,0.1418,0.0871,0.0859,0.0035,4.7233,4.6688,1.0000,0.4402,0.4422
19,170,137,2,0.02,768,4.5188,4.7848,4.7849,0.1235,0.0871,0.0859,0.0077,3.5558,3.5376,1.0000,0.4767,0.4846
20,215,786,2,0.23,768,4.4632,4.7362,4.7369,0.1302,0.0788,0.0795,0.0003,3.8044,3.8408,1.0000,0.5095,0.5128
21,271,410,1,0.31,768,4.4510,4.6909,4.6923,0.1218,0.0871,0.0859,0.0049,2.6692,2.6993,1.0000,0.5454,0.5453
22,343,388,1,0.37,768,4.4696,4.6608,4.6669,0.1254,0.0871,0.0859,0.0065,2.3701,2.4120,1.0000,0.5821,0.5811
23,433,38,2,0.25,768,4.4121,4.6623,4.6696,0.1316,0.0871,0.0859,0.2691,2.5605,2.5923,0.9931,0.5331,0.5388
24,548,467,1,0.41000000000000003,768,4.3892,4.6403,4.6492,0.1296,0.0871,0.0859,0.0093,2.1909,2.2165,1.0000,0.6231,0.6246
25,692,176,0,0.09,768,4.4028,4.6129,4.6255,0.1272,0.0871,0.0859,0.0537,2.2366,2.2489,1.0000,0.6230,0.6236
26,875,57,2,0.02,768,4.4205,4.5923,4.6057,0.1223,0.0871,0.0859,0.1899,2.3714,2.3418,0.9954,0.5989,0.6011
27,1106,968,2,0.15,768,4.4684,4.5463,4.5648,0.1103,0.0871,0.0859,0.0009,2.4469,2.5130,1.0000,0.6910,0.6875
28,1398,268,0,0.01,768,4.4545,4.5212,4.5432,0.1173,0.1325,0.1333,0.0791,1.7988,1.8219,1.0000,0.6919,0.6911
29,1767,270,0,0.3,768,4.4411,4.5226,4.5464,0.1160,0.1325,0.1333,0.1056,1.6451,1.6650,1.0000,0.7140,0.7189
30,2234,596,2,0.24,768,4.4170,4.5303,4.5576,0.1164,0.1325,0.1333,0.1255,1.5621,1.6214,0.9848,0.7316,0.7329
31,2823,694,0,0.49,768,4.4176,4.5238,4.5528,0.1162,0.1325,0.1333,0.0716,1.3922,1.4365,0.9996,0.7563,0.7579
32,3568,837,0,0.48,768,4.4223,4.5204,4.5465,0.1174,0.1325,0.1333,0.1584,1.3041,1.3278,0.9950,0.7716,0.7724
33,4510,487,2,0.4,768,4.4171,4.5164,4.5441,0.1211,0.1325,0.1333,0.0876,1.1121,1.1251,0.9922,0.7964,0.7960
34,5701,418,0,0.11,768,4.4095,4.5255,4.5558,0.1161,0.1325,0.1333,0.1652,1.1767,1.2059,0.9963,0.7923,0.7892
35,7206,407,0,0.05,768,4.3972,4.5355,4.5675,0.1153,0.0871,0.0859,0.1985,1.1436,1.1702,0.9910,0.7986,0.7987
36,9108,657,0,0.0,768,4.4016,4.5345,4.5669,0.1177,0.1325,0.1333,0.2311,1.0816,1.1149,0.9854,0.8148,0.8119
37,11513,442,1,0.22,768,4.4035,4.5351,4.5687,0.1195,0.1325,0.1333,0.0852,0.9066,0.9339,0.9947,0.8362,0.8311
38,14552,398,1,0.37,768,4.3894,4.5339,4.5700,0.1192,0.1325,0.1333,0.1592,0.8320,0.8843,0.9773,0.8432,0.8397
39,18393,369,2,0.04,768,4.3986,4.5308,4.5635,0.1189,0.1325,0.1333,0.1108,0.8830,0.9007,0.9865,0.8425,0.8409
40,23249,75,2,0.43,768,4.3936,4.5189,4.5551,0.1238,0.1325,0.1333,0.4244,0.9230,0.9581,0.9241,0.8374,0.8351
41,29386,179,1,0.18,768,4.3826,4.5240,4.5640,0.1228,0.1325,0.1333,0.1648,0.7072,0.7406,0.9733,0.8655,0.8634
42,37143,442,0,0.09,768,4.4086,4.5086,4.5270,0.1234,0.1325,0.1333,0.2471,0.7100,0.6948,0.9633,0.8681,0.8721
43,46947,111,0,0.14,768,4.4489,4.4949,4.5047,0.1267,0.1325,0.1333,0.2755,0.6576,0.6357,0.9561,0.8783,0.8798
44,59340,242,0,0.37,768,4.4787,4.4925,4.4998,0.1266,0.1325,0.1333,0.2692,0.6140,0.5951,0.9502,0.8835,0.8853
45,75005,107,0,0.35000000000000003,768,4.4953,4.4954,4.4981,0.1297,0.1325,0.1333,0.3065,0.5959,0.5812,0.9427,0.8882,0.8880
46,94804,150,0,0.11,768,4.4842,4.4942,4.4978,0.1305,0.1325,0.1333,0.2645,0.5505,0.5386,0.9525,0.8948,0.8966
47,119830,38,2,0.41000000000000003,768,4.4817,4.4899,4.4962,0.1295,0.1325,0.1333,0.9583,1.0802,1.0515,0.8240,0.8110,0.8117
48,151463,248,2,0.23,768,4.4829,4.4829,4.4924,0.1259,0.1325,0.1333,0.1488,0.4191,0.4167,0.9703,0.9179,0.9169
49,191445,670,1,0.29,768,4.4810,4.4815,4.4941,0.1229,0.1325,0.1333,0.1671,0.3936,0.3958,0.9685,0.9203,0.9206
