run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,300,5.0150,5.5224,5.5219,1.0000,0.1325,0.1333,0.0005,5.3857,5.3819,1.0000,0.1399,0.1395
1,2,433,2,0.27,300,5.0297,5.5319,5.5304,0.5000,0.0092,0.0109,0.0000,5.1874,5.1944,1.0000,0.1389,0.1416
2,3,310,1,0.38,300,4.7677,5.4915,5.4897,0.6667,0.1325,0.1333,0.0006,5.1905,5.1882,1.0000,0.1393,0.1418
3,4,300,1,0.42,300,4.8514,5.4744,5.4744,0.5000,0.1325,0.1333,0.0111,5.2638,5.2762,1.0000,0.1348,0.1345
4,5,1009,2,0.39,300,4.9072,5.4385,5.4386,0.4000,0.1325,0.1333,0.0001,7.9053,8.0101,1.0000,0.1938,0.1911
5,6,657,2,0.41000000000000003,300,4.9491,5.4467,5.4476,0.3333,0.1325,0.1333,0.0012,6.6865,6.7705,1.0000,0.1580,0.1561
6,8,455,2,0.23,300,4.9080,5.4397,5.4411,0.2500,0.0092,0.0109,0.0019,6.4815,6.6018,1.0000,0.1994,0.1957
7,10,103,2,0.09,300,4.7008,5.4216,5.4221,0.3000,0.0092,0.0109,0.0318,5.4414,5.5089,1.0000,0.1982,0.1946
8,13,203,2,0.14,300,4.5678,5.3785,5.3780,0.3077,0.0092,0.0109,0.0121,6.0788,6.1809,1.0000,0.2458,0.2459
9,16,150,1,0.31,300,4.6705,5.3296,5.3292,0.2500,0.0092,0.0109,0.1595,4.6902,4.7237,1.0000,0.2521,0.2501
10,21,72,0,0.15,300,4.6939,5.2563,5.2569,0.1905,0.0092,0.0109,0.1582,4.6119,4.6189,1.0000,0.2495,0.2527
11,26,467,2,0.27,300,4.5853,5.2066,5.2091,0.1923,0.1325,0.1333,0.0109,7.1015,7.2313,1.0000,0.2683,0.2701
12,33,377,2,0.5,300,4.4091,5.1400,5.1428,0.2121,0.1325,0.1333,0.2023,6.9486,7.0155,0.9697,0.2871,0.2873
13,42,436,0,0.44,300,4.5329,5.0996,5.1013,0.1667,0.1325,0.1333,0.4485,4.3119,4.3165,1.0000,0.3331,0.3334
14,53,382,0,0.1,300,4.5302,5.0520,5.0532,0.1887,0.1325,0.1333,0.3782,4.2127,4.2103,1.0000,0.3420,0.3419
15,67,326,2,0.5,300,4.5732,5.0467,5.0505,0.1642,0.1325,0.1333,0.6141,5.6256,5.6627,0.9104,0.3545,0.3590
16,84,326,2,0.49,300,4.4723,4.9956,4.9975,0.1548,0.0871,0.0859,0.5981,4.8530,4.8986,0.9048,0.3776,0.3795
17,106,247,2,0.44,300,4.5024,4.9224,4.9228,0.1415,0.0871,0.0859,0.8989,4.1266,4.1290,0.8396,0.3715,0.3755
18,134,179,2,0.05,300,4.4543,4.8790,4.8771,0.1418,0.0871,0.0859,0.3526,4.4307,4.3886,0.9478,0.3979,0.3992
19,170,137,2,0.02,300,4.5188,4.7848,4.7849,0.1235,0.0871,0.0859,0.7769,3.4488,3.4377,0.8765,0.4160,0.4212
20,215,786,2,0.23,300,4.4632,4.7362,4.7369,0.1302,0.0788,0.0795,0.0733,4.5567,4.5547,1.0000,0.4416,0.4419
21,271,410,1,0.31,300,4.4510,4.6909,4.6923,0.1218,0.0871,0.0859,0.6500,3.0846,3.0808,0.9373,0.4647,0.4628
22,343,388,1,0.37,300,4.4696,4.6608,4.6669,0.1254,0.0871,0.0859,0.8533,2.9370,2.9467,0.9067,0.4831,0.4864
23,433,38,2,0.25,300,4.4121,4.6623,4.6696,0.1316,0.0871,0.0859,1.2031,3.1260,3.1309,0.7806,0.4338,0.4386
24,548,467,1,0.41000000000000003,300,4.3892,4.6403,4.6492,0.1296,0.0871,0.0859,0.9179,2.8351,2.8438,0.8650,0.4965,0.5033
25,692,176,0,0.09,300,4.4028,4.6129,4.6255,0.1272,0.0871,0.0859,0.7904,2.8790,2.8588,0.9581,0.5021,0.5041
26,875,57,2,0.02,300,4.4205,4.5923,4.6057,0.1223,0.0871,0.0859,0.9444,2.8127,2.8038,0.8229,0.5094,0.5145
27,1106,968,2,0.15,300,4.4684,4.5463,4.5648,0.1103,0.0871,0.0859,0.1766,3.4164,3.5074,0.9828,0.5700,0.5695
28,1398,268,0,0.01,300,4.4545,4.5212,4.5432,0.1173,0.1325,0.1333,0.7453,2.5353,2.5264,0.9392,0.5575,0.5617
29,1767,270,0,0.3,300,4.4411,4.5226,4.5464,0.1160,0.1325,0.1333,0.8475,2.3774,2.3830,0.8970,0.5813,0.5840
30,2234,596,2,0.24,300,4.4170,4.5303,4.5576,0.1164,0.1325,0.1333,0.6792,2.2875,2.3642,0.8626,0.6125,0.6169
31,2823,694,0,0.49,300,4.4176,4.5238,4.5528,0.1162,0.1325,0.1333,0.9609,2.1661,2.1820,0.8565,0.6140,0.6174
32,3568,837,0,0.48,300,4.4223,4.5204,4.5465,0.1174,0.1325,0.1333,0.9141,2.0989,2.1165,0.8537,0.6284,0.6321
33,4510,487,2,0.4,300,4.4171,4.5164,4.5441,0.1211,0.1325,0.1333,0.8136,1.8158,1.8194,0.8322,0.6643,0.6639
34,5701,418,0,0.11,300,4.4095,4.5255,4.5558,0.1161,0.1325,0.1333,1.0035,2.0462,2.0688,0.8320,0.6399,0.6418
35,7206,407,0,0.05,300,4.3972,4.5355,4.5675,0.1153,0.0871,0.0859,0.9640,2.0075,2.0357,0.8308,0.6472,0.6486
36,9108,657,0,0.0,300,4.4016,4.5345,4.5669,0.1177,0.1325,0.1333,1.0580,1.9643,1.9842,0.8088,0.6510,0.6515
37,11513,442,1,0.22,300,4.4035,4.5351,4.5687,0.1195,0.1325,0.1333,0.8349,1.6962,1.7157,0.8263,0.6885,0.6900
38,14552,398,1,0.37,300,4.3894,4.5339,4.5700,0.1192,0.1325,0.1333,0.7168,1.5331,1.5616,0.8485,0.7075,0.7049
39,18393,369,2,0.04,300,4.3986,4.5308,4.5635,0.1189,0.1325,0.1333,0.8769,1.6789,1.6684,0.8093,0.6934,0.6917
40,23249,75,2,0.43,300,4.3936,4.5189,4.5551,0.1238,0.1325,0.1333,1.1706,1.6112,1.6244,0.7516,0.6929,0.6910
