run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,272,5.0150,5.5224,5.5219,1.0000,0.1325,0.1333,0.0002,5.9027,5.8812,1.0000,0.0306,0.0333
1,2,433,2,0.27,145,5.0297,5.5319,5.5304,0.5000,0.0092,0.0109,0.0000,6.4374,6.4595,1.0000,0.0826,0.0848
2,3,310,1,0.38,182,4.7677,5.4915,5.4897,0.6667,0.1325,0.1333,0.0002,5.6052,5.6007,1.0000,0.0795,0.0820
3,4,300,1,0.42,205,4.8514,5.4744,5.4744,0.5000,0.1325,0.1333,0.0002,5.4199,5.4089,1.0000,0.1103,0.1112
4,5,1009,2,0.39,134,4.9072,5.4385,5.4386,0.4000,0.1325,0.1333,0.0000,11.4619,11.4636,1.0000,0.0780,0.0799
5,6,657,2,0.41000000000000003,245,4.9491,5.4467,5.4476,0.3333,0.1325,0.1333,0.0000,7.2428,7.2623,1.0000,0.1070,0.1051
6,8,455,2,0.23,133,4.9080,5.4397,5.4411,0.2500,0.0092,0.0109,0.0000,7.5733,7.5662,1.0000,0.0885,0.0899
7,10,103,2,0.09,108,4.7008,5.4216,5.4221,0.3000,0.0092,0.0109,0.0021,5.5473,5.5552,1.0000,0.0613,0.0610
8,13,203,2,0.14,93,4.5678,5.3785,5.3780,0.3077,0.0092,0.0109,0.0010,5.9234,5.9292,1.0000,0.1113,0.1118
9,16,150,1,0.31,212,4.6705,5.3296,5.3292,0.2500,0.0092,0.0109,0.0023,4.9909,4.9931,1.0000,0.1211,0.1239
10,21,72,0,0.15,103,4.6939,5.2563,5.2569,0.1905,0.0092,0.0109,0.0993,5.3049,5.2928,1.0000,0.1387,0.1404
11,26,467,2,0.27,113,4.5853,5.2066,5.2091,0.1923,0.1325,0.1333,0.0004,6.7129,6.7342,1.0000,0.1571,0.1567
12,33,377,2,0.5,99,4.4091,5.1400,5.1428,0.2121,0.1325,0.1333,0.0059,5.9322,5.9468,1.0000,0.2242,0.2265
13,42,436,0,0.44,148,4.5329,5.0996,5.1013,0.1667,0.1325,0.1333,0.0442,4.9975,4.9726,1.0000,0.2316,0.2332
14,53,382,0,0.1,165,4.5302,5.0520,5.0532,0.1887,0.1325,0.1333,0.0914,5.0158,5.0415,1.0000,0.2382,0.2347
15,67,326,2,0.5,60,4.5732,5.0467,5.0505,0.1642,0.1325,0.1333,0.1787,5.5966,5.6008,1.0000,0.2537,0.2594
16,84,326,2,0.49,84,4.4723,4.9956,4.9975,0.1548,0.0871,0.0859,0.1195,5.2404,5.2368,1.0000,0.2693,0.2647
17,106,247,2,0.44,238,4.5024,4.9224,4.9228,0.1415,0.0871,0.0859,0.0072,4.6387,4.6432,1.0000,0.2908,0.2872
18,134,179,2,0.05,122,4.4543,4.8790,4.8771,0.1418,0.0871,0.0859,0.0069,4.9062,4.9088,1.0000,0.2900,0.2883
19,170,137,2,0.02,144,4.5188,4.7848,4.7849,0.1235,0.0871,0.0859,0.0121,4.1941,4.2165,1.0000,0.3387,0.3426
20,215,786,2,0.23,79,4.4632,4.7362,4.7369,0.1302,0.0788,0.0795,0.0010,5.5568,5.6482,1.0000,0.3342,0.3359
21,271,410,1,0.31,159,4.4510,4.6909,4.6923,0.1218,0.0871,0.0859,0.0127,3.9414,3.9708,1.0000,0.3622,0.3631
22,343,388,1,0.37,154,4.4696,4.6608,4.6669,0.1254,0.0871,0.0859,0.0223,3.8135,3.8750,1.0000,0.3836,0.3790
23,433,38,2,0.25,148,4.4121,4.6623,4.6696,0.1316,0.0871,0.0859,0.7596,3.9237,3.9243,0.9215,0.3515,0.3507
24,548,467,1,0.41000000000000003,115,4.3892,4.6403,4.6492,0.1296,0.0871,0.0859,0.1110,3.8499,3.8623,1.0000,0.3808,0.3786
25,692,176,0,0.09,124,4.4028,4.6129,4.6255,0.1272,0.0871,0.0859,1.3083,4.4356,4.4179,0.8757,0.3279,0.3246
26,875,57,2,0.02,240,4.4205,4.5923,4.6057,0.1223,0.0871,0.0859,0.5285,3.8090,3.8480,0.9474,0.3728,0.3753
27,1106,968,2,0.15,50,4.4684,4.5463,4.5648,0.1103,0.0871,0.0859,0.0153,5.0193,5.1577,0.9973,0.3956,0.3935
28,1398,268,0,0.01,235,4.4545,4.5212,4.5432,0.1173,0.1325,0.1333,0.7408,4.0637,4.0939,0.9464,0.3907,0.3888
29,1767,270,0,0.3,144,4.4411,4.5226,4.5464,0.1160,0.1325,0.1333,1.2545,3.8724,3.8827,0.8376,0.4090,0.4103
30,2234,596,2,0.24,188,4.4170,4.5303,4.5576,0.1164,0.1325,0.1333,0.4798,3.3720,3.4651,0.9315,0.4698,0.4690
31,2823,694,0,0.49,59,4.4176,4.5238,4.5528,0.1162,0.1325,0.1333,2.3543,3.4921,3.5443,0.5462,0.3826,0.3774
32,3568,837,0,0.48,176,4.4223,4.5204,4.5465,0.1174,0.1325,0.1333,1.1973,3.1837,3.2035,0.7932,0.4708,0.4707
33,4510,487,2,0.4,75,4.4171,4.5164,4.5441,0.1211,0.1325,0.1333,1.1203,2.7029,2.7339,0.8450,0.5104,0.5101
34,5701,418,0,0.11,210,4.4095,4.5255,4.5558,0.1161,0.1325,0.1333,1.7632,3.4943,3.5387,0.7150,0.4624,0.4547
35,7206,407,0,0.05,85,4.3972,4.5355,4.5675,0.1153,0.0871,0.0859,2.0946,3.5189,3.5897,0.5994,0.4338,0.4279
36,9108,657,0,0.0,102,4.4016,4.5345,4.5669,0.1177,0.1325,0.1333,2.0144,3.5546,3.5968,0.6136,0.4488,0.4499
37,11513,442,1,0.22,225,4.4035,4.5351,4.5687,0.1195,0.1325,0.1333,1.3941,2.6960,2.7405,0.7493,0.5149,0.5094
38,14552,398,1,0.37,187,4.3894,4.5339,4.5700,0.1192,0.1325,0.1333,0.5762,2.4621,2.5199,0.9342,0.5663,0.5570
39,18393,369,2,0.04,195,4.3986,4.5308,4.5635,0.1189,0.1325,0.1333,1.5172,2.6237,2.6989,0.7087,0.5338,0.5316
40,23249,75,2,0.43,230,4.3936,4.5189,4.5551,0.1238,0.1325,0.1333,2.0151,2.4128,2.4427,0.6057,0.5389,0.5394
41,29386,179,1,0.18,187,4.3826,4.5240,4.5640,0.1228,0.1325,0.1333,1.2127,2.3396,2.3887,0.7695,0.5722,0.5715
42,37143,442,0,0.09,112,4.4086,4.5086,4.5270,0.1234,0.1325,0.1333,2.3466,2.8219,2.8287,0.5501,0.4983,0.4985
43,46947,111,0,0.14,188,4.4489,4.4949,4.5047,0.1267,0.1325,0.1333,2.0361,2.5451,2.5539,0.5961,0.5354,0.5341
44,59340,242,0,0.37,94,4.4787,4.4925,4.4998,0.1266,0.1325,0.1333,2.6371,2.8177,2.8459,0.5040,0.4852,0.4818
45,75005,107,0,0.35000000000000003,182,4.4953,4.4954,4.4981,0.1297,0.1325,0.1333,2.2248,2.4818,2.4923,0.5662,0.5320,0.5293
46,94804,150,0,0.11,215,4.4842,4.4942,4.4978,0.1305,0.1325,0.1333,2.0865,2.3994,2.4066,0.5902,0.5565,0.5552
47,119830,38,2,0.41000000000000003,292,4.4817,4.4899,4.4962,0.1295,0.1325,0.1333,2.3856,2.4094,2.4182,0.5262,0.5286,0.5317
48,151463,248,2,0.23,98,4.4829,4.4829,4.4924,0.1259,0.1325,0.1333,1.5047,1.7331,1.7183,0.6887,0.6490,0.6510
49,191445,670,1,0.29,67,4.4810,4.4815,4.4941,0.1229,0.1325,0.1333,1.4980,1.7487,1.7432,0.7010,0.6564,0.6595
