run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,768,5.0150,5.5224,5.5219,1.0000,0.1325,0.1333,0.0022,5.5952,5.5920,1.0000,0.1325,0.1333
1,2,433,2,0.27,768,5.0297,5.5319,5.5304,0.5000,0.0092,0.0109,0.0001,9.2408,9.2244,1.0000,0.0493,0.0505
2,3,310,1,0.38,768,4.7677,5.4915,5.4897,0.6667,0.1325,0.1333,0.0022,6.8361,6.8262,1.0000,0.1394,0.1411
3,4,300,1,0.42,768,4.8514,5.4744,5.4744,0.5000,0.1325,0.1333,0.0028,7.7359,7.7305,1.0000,0.1472,0.1434
4,5,1009,2,0.39,768,4.9072,5.4385,5.4386,0.4000,0.1325,0.1333,0.0000,14.1118,14.1154,1.0000,0.1578,0.1577
5,6,657,2,0.41000000000000003,768,4.9491,5.4467,5.4476,0.3333,0.1325,0.1333,0.0002,10.9247,10.9472,1.0000,0.1516,0.1484
6,8,455,2,0.23,768,4.9080,5.4397,5.4411,0.2500,0.0092,0.0109,0.0002,11.1422,11.1774,1.0000,0.1265,0.1248
7,10,103,2,0.09,768,4.7008,5.4216,5.4221,0.3000,0.0092,0.0109,0.0050,7.4139,7.4482,1.0000,0.1367,0.1361
8,13,203,2,0.14,768,4.5678,5.3785,5.3780,0.3077,0.0092,0.0109,0.0014,8.1310,8.1198,1.0000,0.1914,0.1962
9,16,150,1,0.31,768,4.6705,5.3296,5.3292,0.2500,0.0092,0.0109,0.0104,6.3322,6.3240,1.0000,0.2169,0.2208
10,21,72,0,0.15,768,4.6939,5.2563,5.2569,0.1905,0.0092,0.0109,0.1093,5.5106,5.5072,1.0000,0.2131,0.2169
11,26,467,2,0.27,768,4.5853,5.2066,5.2091,0.1923,0.1325,0.1333,0.0009,9.6258,9.5590,1.0000,0.2733,0.2715
12,33,377,2,0.5,768,4.4091,5.1400,5.1428,0.2121,0.1325,0.1333,0.0101,8.2829,8.2704,1.0000,0.3203,0.3200
13,42,436,0,0.44,768,4.5329,5.0996,5.1013,0.1667,0.1325,0.1333,0.2467,5.1802,5.1560,1.0000,0.2897,0.2895
14,53,382,0,0.1,768,4.5302,5.0520,5.0532,0.1887,0.1325,0.1333,0.2035,4.8479,4.8247,1.0000,0.3687,0.3684
15,67,326,2,0.5,768,4.5732,5.0467,5.0505,0.1642,0.1325,0.1333,0.0690,6.4750,6.4402,1.0000,0.3753,0.3782
