run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,768,4.4374,5.0031,5.0160,1.0000,0.0330,0.0110,0.0002,9.2038,9.1856,1.0000,0.0330,0.0110
1,2,433,2,0.27,768,4.4594,5.0073,5.0236,0.5000,0.0305,0.0247,0.0000,18.4869,18.5420,1.0000,0.0584,0.0247
2,3,310,1,0.38,768,4.4811,4.8835,4.8850,0.3333,0.0305,0.0247,0.0032,8.8967,8.6507,1.0000,0.3046,0.2877
3,4,300,1,0.42,768,4.5025,4.8336,4.8278,0.2500,0.0305,0.0247,0.0000,8.2774,7.9813,1.0000,0.3173,0.3315
4,5,1009,2,0.39,768,4.3575,4.8410,4.8443,0.4000,0.0330,0.0110,0.0001,8.7494,8.5061,1.0000,0.3122,0.3068
5,6,657,2,0.41000000000000003,768,4.2676,4.8491,4.8549,0.3333,0.0305,0.0247,0.0001,8.9293,8.7587,1.0000,0.3249,0.3096
6,7,455,2,0.23,768,4.2090,4.7663,4.7616,0.2857,0.0305,0.0247,0.0004,8.9843,8.5495,1.0000,0.3198,0.2986
7,8,103,2,0.09,768,4.2737,4.7598,4.7690,0.2500,0.0305,0.0247,0.0064,5.8324,5.8568,1.0000,0.3122,0.3096
8,9,203,2,0.14,768,4.1747,4.7690,4.7854,0.3333,0.0330,0.0110,0.0017,7.0970,7.1057,1.0000,0.2868,0.2877
9,11,150,1,0.31,768,4.2165,4.7471,4.7654,0.2727,0.0330,0.0110,0.0073,6.3567,6.6068,1.0000,0.3376,0.3233
10,12,72,0,0.15,768,4.1561,4.6861,4.6963,0.2500,0.0330,0.0110,0.0044,6.2820,6.3348,1.0000,0.3756,0.3781
11,14,467,2,0.27,768,4.2660,4.6790,4.6825,0.2143,0.0330,0.0110,0.0005,7.0537,7.0967,1.0000,0.3528,0.3589
12,16,377,2,0.5,768,4.3925,4.7393,4.7435,0.1875,0.0330,0.0110,0.0066,6.0116,6.0101,1.0000,0.3350,0.3342
13,18,436,0,0.44,768,4.3772,4.7625,4.7737,0.1667,0.0330,0.0110,0.0120,5.7782,5.8237,1.0000,0.3503,0.3233
14,21,382,0,0.1,768,4.3646,4.7062,4.7195,0.1905,0.2487,0.2740,0.0385,6.0606,6.2197,1.0000,0.3401,0.3342
