run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,300,4.4374,5.0031,5.0160,1.0000,0.0330,0.0110,0.3092,5.0660,5.1126,1.0000,0.0330,0.0137
1,2,433,2,0.27,300,4.4594,5.0073,5.0236,0.5000,0.0305,0.0247,0.0003,8.5200,9.0912,1.0000,0.0508,0.0356
2,3,310,1,0.38,300,4.4811,4.8835,4.8850,0.3333,0.0305,0.0247,0.0394,4.6337,4.7003,1.0000,0.2868,0.2986
3,4,300,1,0.42,300,4.5025,4.8336,4.8278,0.2500,0.0305,0.0247,0.0525,4.3633,4.3880,1.0000,0.3731,0.3726
4,5,1009,2,0.39,300,4.3575,4.8410,4.8443,0.4000,0.0330,0.0110,0.0006,8.4465,8.7367,1.0000,0.3731,0.3479
5,6,657,2,0.41000000000000003,300,4.2676,4.8491,4.8549,0.3333,0.0305,0.0247,0.0038,6.8593,6.9968,1.0000,0.3553,0.3342
6,7,455,2,0.23,300,4.2090,4.7663,4.7616,0.2857,0.0305,0.0247,0.0025,7.5789,7.7411,1.0000,0.3452,0.3562
7,8,103,2,0.09,300,4.2737,4.7598,4.7690,0.2500,0.0305,0.0247,0.2923,5.1240,5.2028,1.0000,0.3020,0.3233
8,9,203,2,0.14,300,4.1747,4.7690,4.7854,0.3333,0.0330,0.0110,0.0909,6.3899,6.5257,1.0000,0.3477,0.3589
9,11,150,1,0.31,300,4.2165,4.7471,4.7654,0.2727,0.0330,0.0110,0.4735,4.4847,4.5919,1.0000,0.3528,0.3616
10,12,72,0,0.15,300,4.1561,4.6861,4.6963,0.2500,0.0330,0.0110,0.6163,4.1397,4.1323,1.0000,0.3401,0.3589
11,14,467,2,0.27,300,4.2660,4.6790,4.6825,0.2143,0.0330,0.0110,0.0501,8.8290,9.3499,1.0000,0.3756,0.3808
12,16,377,2,0.5,300,4.3925,4.7393,4.7435,0.1875,0.0330,0.0110,0.3889,6.9836,7.3435,0.9375,0.3629,0.3644
13,18,436,0,0.44,300,4.3772,4.7625,4.7737,0.1667,0.0330,0.0110,0.5363,4.1137,4.0943,1.0000,0.3299,0.3534
14,21,382,0,0.1,300,4.3646,4.7062,4.7195,0.1905,0.2487,0.2740,0.9360,4.5233,4.5155,1.0000,0.3147,0.3233
15,24,326,2,0.5,300,4.3296,4.6071,4.6114,0.2083,0.2487,0.2740,0.3836,4.4717,4.6668,1.0000,0.4289,0.4438
16,28,326,2,0.49,300,4.2033,4.5234,4.5179,0.2500,0.2487,0.2740,0.3450,4.6627,5.0156,0.9643,0.4365,0.4521
17,32,247,2,0.44,300,4.2458,4.5138,4.4997,0.2500,0.2487,0.2740,0.4894,4.6662,5.0078,1.0000,0.4264,0.4603
18,37,179,2,0.05,300,4.1790,4.4622,4.4412,0.2703,0.2487,0.2740,0.1309,4.8710,4.9576,1.0000,0.4213,0.4466
19,42,137,2,0.02,300,4.0892,4.4246,4.3924,0.2857,0.2487,0.2740,0.2535,4.6060,4.7713,1.0000,0.4442,0.4685
20,48,786,2,0.23,300,4.1342,4.4286,4.3914,0.2708,0.2487,0.2740,0.0084,6.5472,7.0749,1.0000,0.4340,0.4685
21,55,410,1,0.31,300,4.1233,4.4021,4.3493,0.2727,0.2487,0.2740,0.1959,3.9620,3.9993,1.0000,0.4289,0.4767
