run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,272,4.4374,5.0031,5.0160,1.0000,0.0330,0.0110,0.0002,5.1952,5.2121,1.0000,0.0431,0.0219
1,2,433,2,0.27,145,4.4594,5.0073,5.0236,0.5000,0.0305,0.0247,0.0000,6.2244,6.4261,1.0000,0.0305,0.0137
2,3,310,1,0.38,182,4.4811,4.8835,4.8850,0.3333,0.0305,0.0247,0.0003,4.4709,4.5596,1.0000,0.1421,0.1370
3,4,300,1,0.42,205,4.5025,4.8336,4.8278,0.2500,0.0305,0.0247,0.0003,4.3605,4.4866,1.0000,0.1777,0.1644
4,5,1009,2,0.39,134,4.3575,4.8410,4.8443,0.4000,0.0330,0.0110,0.0000,8.0052,7.9995,1.0000,0.1777,0.1507
5,6,657,2,0.41000000000000003,245,4.2676,4.8491,4.8549,0.3333,0.0305,0.0247,0.0000,6.5424,6.6197,1.0000,0.1726,0.1342
6,7,455,2,0.23,133,4.2090,4.7663,4.7616,0.2857,0.0305,0.0247,0.0000,6.1490,6.2309,1.0000,0.1447,0.1370
7,8,103,2,0.09,108,4.2737,4.7598,4.7690,0.2500,0.0305,0.0247,0.0012,4.4012,4.5353,1.0000,0.2107,0.1863
8,9,203,2,0.14,93,4.1747,4.7690,4.7854,0.3333,0.0330,0.0110,0.0004,4.4568,4.4929,1.0000,0.2030,0.2055
9,11,150,1,0.31,212,4.2165,4.7471,4.7654,0.2727,0.0330,0.0110,0.0009,4.3010,4.5321,1.0000,0.1980,0.1671
10,12,72,0,0.15,103,4.1561,4.6861,4.6963,0.2500,0.0330,0.0110,0.0704,4.6707,4.8571,1.0000,0.1701,0.1288
11,14,467,2,0.27,113,4.2660,4.6790,4.6825,0.2143,0.0330,0.0110,0.0002,5.6655,5.9893,1.0000,0.2360,0.1753
12,16,377,2,0.5,99,4.3925,4.7393,4.7435,0.1875,0.0330,0.0110,0.0033,5.1721,5.4133,1.0000,0.2081,0.1836
13,18,436,0,0.44,148,4.3772,4.7625,4.7737,0.1667,0.0330,0.0110,0.0757,5.0154,5.4181,1.0000,0.1599,0.1123
14,21,382,0,0.1,165,4.3646,4.7062,4.7195,0.1905,0.2487,0.2740,0.0445,4.9788,5.2357,1.0000,0.1878,0.1425
15,24,326,2,0.5,60,4.3296,4.6071,4.6114,0.2083,0.2487,0.2740,0.0345,4.9146,5.1547,1.0000,0.2741,0.2192
16,28,326,2,0.49,84,4.2033,4.5234,4.5179,0.2500,0.2487,0.2740,0.0123,4.2534,4.6202,1.0000,0.3452,0.3370
