run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,768,4.2977,4.8398,4.8400,1.0000,0.0733,0.0728,0.0000,6.2584,6.2648,1.0000,0.0733,0.0728
1,2,433,2,0.27,768,4.3219,4.8407,4.8380,0.5000,0.0399,0.0449,0.0000,14.0483,14.0215,1.0000,0.0690,0.0730
2,3,310,1,0.38,768,4.3458,4.7498,4.7474,0.3333,0.0399,0.0449,0.0001,8.4301,8.3923,1.0000,0.1885,0.1881
3,4,300,1,0.42,768,4.3692,4.7299,4.7282,0.2500,0.0399,0.0449,0.0000,7.9473,7.9324,1.0000,0.2066,0.2075
4,5,1009,2,0.39,768,4.3923,4.7306,4.7305,0.2000,0.0382,0.0356,0.0000,13.2879,13.3233,1.0000,0.1749,0.1708
5,6,657,2,0.41000000000000003,768,4.4150,4.7064,4.7039,0.1667,0.0382,0.0356,0.0000,9.5369,9.4878,1.0000,0.2177,0.2176
6,7,455,2,0.23,768,4.3188,4.6955,4.6913,0.2857,0.0803,0.0842,0.0000,9.5676,9.5218,1.0000,0.1905,0.1941
7,9,103,2,0.09,768,4.3889,4.6664,4.6593,0.2222,0.0803,0.0842,0.0002,5.0514,5.0313,1.0000,0.2168,0.2201
8,11,203,2,0.14,768,4.4481,4.6379,4.6317,0.1818,0.0803,0.0842,0.0001,5.8612,5.8235,1.0000,0.1720,0.1759
9,13,150,1,0.31,768,4.3732,4.6234,4.6170,0.1538,0.0603,0.0618,0.0011,5.3073,5.2750,1.0000,0.1641,0.1611
10,16,72,0,0.15,768,4.3132,4.5547,4.5466,0.1250,0.0603,0.0618,0.0057,4.9853,4.9282,1.0000,0.1813,0.1916
11,20,467,2,0.27,768,4.2239,4.5626,4.5523,0.2000,0.0603,0.0618,0.0000,6.6141,6.4687,1.0000,0.1954,0.2008
12,24,377,2,0.5,768,4.2258,4.5079,4.5010,0.1667,0.0603,0.0618,0.0007,5.2079,5.1666,1.0000,0.2626,0.2661
13,29,436,0,0.44,768,4.1728,4.4881,4.4778,0.1379,0.0603,0.0618,0.0295,4.8167,4.7648,1.0000,0.2795,0.2816
14,36,382,0,0.1,768,4.1035,4.4654,4.4572,0.1389,0.0399,0.0449,0.0246,5.0676,5.0102,1.0000,0.2880,0.2950
15,43,326,2,0.5,768,4.1082,4.4258,4.4167,0.1395,0.0803,0.0842,0.0021,5.0931,5.0539,1.0000,0.3393,0.3410
16,53,326,2,0.49,768,4.0532,4.3878,4.3823,0.1321,0.0603,0.0618,0.0021,4.9344,4.9365,1.0000,0.3194,0.3209
