run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,272,4.2977,4.8398,4.8400,1.0000,0.0733,0.0728,0.0002,4.9430,4.9384,1.0000,0.0639,0.0656
1,2,433,2,0.27,145,4.3219,4.8407,4.8380,0.5000,0.0399,0.0449,0.0000,6.4339,6.4490,1.0000,0.0562,0.0580
2,3,310,1,0.38,182,4.3458,4.7498,4.7474,0.3333,0.0399,0.0449,0.0001,4.5475,4.5357,1.0000,0.1148,0.1223
3,4,300,1,0.42,205,4.3692,4.7299,4.7282,0.2500,0.0399,0.0449,0.0002,4.5296,4.5304,1.0000,0.1204,0.1219
4,5,1009,2,0.39,134,4.3923,4.7306,4.7305,0.2000,0.0382,0.0356,0.0000,7.6569,7.6039,1.0000,0.1223,0.1318
5,6,657,2,0.41000000000000003,245,4.4150,4.7064,4.7039,0.1667,0.0382,0.0356,0.0000,5.5638,5.5230,1.0000,0.1743,0.1833
6,7,455,2,0.23,133,4.3188,4.6955,4.6913,0.2857,0.0803,0.0842,0.0000,5.7529,5.6999,1.0000,0.1403,0.1481
7,9,103,2,0.09,108,4.3889,4.6664,4.6593,0.2222,0.0803,0.0842,0.0013,4.4524,4.4152,1.0000,0.1334,0.1409
8,11,203,2,0.14,93,4.4481,4.6379,4.6317,0.1818,0.0803,0.0842,0.0005,4.3731,4.3259,1.0000,0.1549,0.1606
9,13,150,1,0.31,212,4.3732,4.6234,4.6170,0.1538,0.0603,0.0618,0.0017,4.2715,4.2592,1.0000,0.1374,0.1412
10,16,72,0,0.15,103,4.3132,4.5547,4.5466,0.1250,0.0603,0.0618,0.0607,4.7009,4.6814,1.0000,0.1536,0.1590
11,20,467,2,0.27,113,4.2239,4.5626,4.5523,0.2000,0.0603,0.0618,0.0002,5.4361,5.3324,1.0000,0.1339,0.1382
12,24,377,2,0.5,99,4.2258,4.5079,4.5010,0.1667,0.0603,0.0618,0.0023,4.5461,4.4861,1.0000,0.2432,0.2518
13,29,436,0,0.44,148,4.1728,4.4881,4.4778,0.1379,0.0603,0.0618,0.0669,4.2770,4.2659,1.0000,0.2386,0.2397
14,36,382,0,0.1,165,4.1035,4.4654,4.4572,0.1389,0.0399,0.0449,0.0515,4.3499,4.3454,1.0000,0.2372,0.2377
