run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,768,3.3692,3.9303,3.9278,1.0000,0.0409,0.0451,0.0009,4.9670,4.9517,1.0000,0.0409,0.0451
1,2,433,2,0.27,768,3.4150,3.8795,3.8798,0.5000,0.0409,0.0451,0.0000,11.4890,11.5368,1.0000,0.1872,0.1862
2,3,310,1,0.38,768,3.4594,3.8335,3.8316,0.3333,0.0409,0.0451,0.0004,6.0494,6.0415,1.0000,0.3036,0.3045
3,4,300,1,0.42,768,3.5025,3.7332,3.7291,0.2500,0.0409,0.0451,0.0010,5.1381,5.1069,1.0000,0.3012,0.3047
4,5,1009,2,0.39,768,3.3783,3.6733,3.6676,0.4000,0.2451,0.2489,0.0000,8.9695,8.8666,1.0000,0.3129,0.3159
5,6,657,2,0.41000000000000003,768,3.4466,3.6918,3.6863,0.3333,0.2451,0.2489,0.0001,5.8011,5.7443,1.0000,0.2886,0.2873
6,8,455,2,0.23,768,3.3517,3.6372,3.6321,0.2500,0.2451,0.2489,0.0000,6.4054,6.3117,1.0000,0.3444,0.3485
7,9,103,2,0.09,768,3.4237,3.6453,3.6397,0.2222,0.2451,0.2489,0.0030,4.5464,4.5022,1.0000,0.3185,0.3202
8,12,203,2,0.14,768,3.2206,3.5767,3.5726,0.3333,0.1651,0.1604,0.0005,5.0640,4.9911,1.0000,0.3816,0.3899
9,14,150,1,0.31,768,3.2437,3.5497,3.5454,0.2857,0.2451,0.2489,0.0033,3.8648,3.8393,1.0000,0.3745,0.3760
10,18,72,0,0.15,768,3.2638,3.5673,3.5625,0.2222,0.2451,0.2489,0.0512,3.5915,3.5677,1.0000,0.3923,0.3908
11,22,467,2,0.27,768,3.1917,3.5581,3.5515,0.2273,0.2451,0.2489,0.0001,6.1774,6.0936,1.0000,0.4104,0.4099
12,27,377,2,0.5,768,3.2319,3.5421,3.5360,0.2222,0.2451,0.2489,0.0008,3.7427,3.7201,1.0000,0.4210,0.4220
13,34,436,0,0.44,768,3.0976,3.4859,3.4779,0.2647,0.2451,0.2489,0.1004,2.9906,2.9643,1.0000,0.4857,0.4909
14,42,382,0,0.1,768,3.2607,3.3948,3.3933,0.2143,0.2451,0.2489,0.0280,2.3680,2.3692,1.0000,0.5139,0.5131
15,52,326,2,0.5,768,3.2362,3.3868,3.3851,0.2308,0.2451,0.2489,0.0067,2.4669,2.4591,1.0000,0.5417,0.5403
16,64,326,2,0.49,768,3.2741,3.3554,3.3601,0.1875,0.2451,0.2489,0.0086,2.1973,2.2166,1.0000,0.5844,0.5830
17,79,247,2,0.44,768,3.2591,3.3376,3.3460,0.1899,0.2451,0.2489,0.0131,1.9947,2.0046,1.0000,0.6276,0.6265
18,98,179,2,0.05,768,3.2468,3.2947,3.3043,0.1939,0.2451,0.2489,0.0025,2.0748,2.1043,1.0000,0.6529,0.6495
19,121,137,2,0.02,768,3.2462,3.2941,3.3042,0.1983,0.2451,0.2489,0.0038,2.1093,2.1125,1.0000,0.6537,0.6543
20,150,786,2,0.23,768,3.1871,3.2677,3.2773,0.2133,0.2451,0.2489,0.0002,2.6296,2.6625,1.0000,0.6864,0.6847
