run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,300,3.3692,3.9303,3.9278,1.0000,0.0409,0.0451,1.1929,3.9204,3.9173,1.0000,0.0410,0.0451
1,2,433,2,0.27,300,3.4150,3.8795,3.8798,0.5000,0.0409,0.0451,0.0002,5.2624,5.2639,1.0000,0.2049,0.2048
2,3,310,1,0.38,300,3.4594,3.8335,3.8316,0.3333,0.0409,0.0451,0.0377,3.7272,3.7216,1.0000,0.3136,0.3130
3,4,300,1,0.42,300,3.5025,3.7332,3.7291,0.2500,0.0409,0.0451,0.0691,3.3959,3.3834,1.0000,0.3153,0.3148
4,5,1009,2,0.39,300,3.3783,3.6733,3.6676,0.4000,0.2451,0.2489,0.0003,6.3357,6.2652,1.0000,0.3299,0.3284
5,6,657,2,0.41000000000000003,300,3.4466,3.6918,3.6863,0.3333,0.2451,0.2489,0.0034,6.2879,6.2465,1.0000,0.2111,0.2078
6,8,455,2,0.23,300,3.3517,3.6372,3.6321,0.2500,0.2451,0.2489,0.0029,6.4111,6.3672,1.0000,0.3071,0.3098
7,9,103,2,0.09,300,3.4237,3.6453,3.6397,0.2222,0.2451,0.2489,0.4428,4.2605,4.2266,1.0000,0.3189,0.3175
8,12,203,2,0.14,300,3.2206,3.5767,3.5726,0.3333,0.1651,0.1604,0.1404,5.0495,4.9963,1.0000,0.3581,0.3601
9,14,150,1,0.31,300,3.2437,3.5497,3.5454,0.2857,0.2451,0.2489,0.8076,3.1702,3.1563,0.7857,0.4394,0.4405
10,18,72,0,0.15,300,3.2638,3.5673,3.5625,0.2222,0.2451,0.2489,1.0839,3.0505,3.0463,1.0000,0.4237,0.4244
11,22,467,2,0.27,300,3.1917,3.5581,3.5515,0.2273,0.2451,0.2489,0.0342,6.3106,6.2452,1.0000,0.4169,0.4183
