run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,272,3.3692,3.9303,3.9278,1.0000,0.0409,0.0451,0.0031,4.0866,4.0759,1.0000,0.0422,0.0457
1,2,433,2,0.27,145,3.4150,3.8795,3.8798,0.5000,0.0409,0.0451,0.0000,6.1069,6.0916,1.0000,0.1109,0.1097
2,3,310,1,0.38,182,3.4594,3.8335,3.8316,0.3333,0.0409,0.0451,0.0008,3.8604,3.8623,1.0000,0.1282,0.1313
3,4,300,1,0.42,205,3.5025,3.7332,3.7291,0.2500,0.0409,0.0451,0.0009,3.4957,3.4847,1.0000,0.1916,0.1940
4,5,1009,2,0.39,134,3.3783,3.6733,3.6676,0.4000,0.2451,0.2489,0.0000,6.8722,6.7774,1.0000,0.2346,0.2396
5,6,657,2,0.41000000000000003,245,3.4466,3.6918,3.6863,0.3333,0.2451,0.2489,0.0000,5.1108,5.0527,1.0000,0.2121,0.2131
6,8,455,2,0.23,133,3.3517,3.6372,3.6321,0.2500,0.2451,0.2489,0.0001,4.9080,4.8726,1.0000,0.2681,0.2625
7,9,103,2,0.09,108,3.4237,3.6453,3.6397,0.2222,0.2451,0.2489,0.0031,3.5839,3.5718,1.0000,0.2310,0.2325
8,12,203,2,0.14,93,3.2206,3.5767,3.5726,0.3333,0.1651,0.1604,0.0013,4.0767,4.0600,1.0000,0.2675,0.2681
9,14,150,1,0.31,212,3.2437,3.5497,3.5454,0.2857,0.2451,0.2489,0.0060,3.2489,3.2485,1.0000,0.2777,0.2785
10,18,72,0,0.15,103,3.2638,3.5673,3.5625,0.2222,0.2451,0.2489,0.3415,3.4503,3.4726,1.0000,0.2587,0.2531
11,22,467,2,0.27,113,3.1917,3.5581,3.5515,0.2273,0.2451,0.2489,0.0003,5.3293,5.2746,1.0000,0.3146,0.3151
