run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,768,3.4594,4.0004,3.9958,1.0000,0.0752,0.0831,0.0000,5.0612,5.0164,1.0000,0.0775,0.0854
1,2,433,2,0.27,768,3.5025,3.9713,3.9660,0.5000,0.0752,0.0831,0.0000,9.5588,9.4878,1.0000,0.1818,0.1886
2,3,310,1,0.38,768,3.2676,3.9820,3.9733,0.6667,0.0752,0.0831,0.0000,7.8049,7.7319,1.0000,0.1964,0.2041
3,4,300,1,0.42,768,3.1699,3.9714,3.9623,0.5000,0.0752,0.0831,0.0000,7.7197,7.6541,1.0000,0.1935,0.1991
4,5,1009,2,0.39,768,3.2925,3.9692,3.9623,0.4000,0.0752,0.0831,0.0000,12.7539,12.7021,1.0000,0.2115,0.2143
5,6,657,2,0.41000000000000003,768,3.3863,3.9095,3.9040,0.3333,0.0752,0.0831,0.0000,9.8720,9.8366,1.0000,0.2729,0.2750
6,8,455,2,0.23,768,3.3568,3.8946,3.8892,0.3750,0.0752,0.0831,0.0000,8.7192,8.7511,1.0000,0.3358,0.3372
7,10,103,2,0.09,768,3.1132,3.9285,3.9193,0.5000,0.0752,0.0831,0.0002,4.6219,4.6153,1.0000,0.2887,0.2943
8,13,203,2,0.14,768,2.9461,3.9414,3.9300,0.4615,0.0752,0.0831,0.0000,5.4012,5.4333,1.0000,0.3446,0.3431
9,16,150,1,0.31,768,3.1675,3.8732,3.8626,0.3750,0.0752,0.0831,0.0002,3.3187,3.3412,1.0000,0.4952,0.4956
10,21,72,0,0.15,768,3.2129,3.8286,3.8192,0.2857,0.0752,0.0831,0.0008,3.7294,3.7317,1.0000,0.4422,0.4426
11,26,467,2,0.27,768,3.1497,3.8512,3.8402,0.2692,0.0752,0.0831,0.0000,6.3482,6.3774,1.0000,0.5072,0.5045
12,33,377,2,0.5,768,3.1121,3.8367,3.8278,0.2121,0.0752,0.0831,0.0001,5.1441,5.1605,1.0000,0.4953,0.4960
13,42,436,0,0.44,768,3.2689,3.7583,3.7548,0.1905,0.1679,0.1654,0.0062,2.7988,2.8009,1.0000,0.5546,0.5541
14,53,382,0,0.1,768,3.3205,3.7439,3.7433,0.1887,0.1679,0.1654,0.0076,2.4483,2.4475,1.0000,0.5937,0.5966
15,68,326,2,0.5,768,3.4352,3.7196,3.7162,0.1618,0.1679,0.1654,0.0001,2.5314,2.5253,1.0000,0.6967,0.6940
16,85,326,2,0.49,768,3.3949,3.7616,3.7535,0.1529,0.0809,0.0809,0.0001,2.6337,2.6384,1.0000,0.6911,0.6886
17,108,247,2,0.44,768,3.4337,3.7425,3.7370,0.1667,0.0752,0.0831,0.0002,1.9896,2.0156,1.0000,0.7167,0.7131
18,137,179,2,0.05,768,3.4350,3.7201,3.7186,0.1460,0.1679,0.1654,0.0002,1.9577,2.0086,1.0000,0.7488,0.7430
19,173,137,2,0.02,768,3.4630,3.7018,3.7041,0.1618,0.1679,0.1654,0.0008,1.2111,1.2848,1.0000,0.8006,0.7937
20,219,786,2,0.23,768,3.4974,3.6720,3.6779,0.1553,0.1679,0.1654,0.0000,1.5059,1.6200,1.0000,0.8296,0.8239
21,278,410,1,0.31,768,3.4853,3.6824,3.6886,0.1655,0.1679,0.1654,0.0005,0.9681,1.0189,1.0000,0.8382,0.8315
22,351,388,1,0.37,768,3.4800,3.6781,3.6854,0.1681,0.1679,0.1654,0.0006,0.9734,1.0229,1.0000,0.8424,0.8370
23,445,38,2,0.25,768,3.4471,3.6918,3.6956,0.1685,0.1679,0.1654,0.0081,0.9867,1.0406,1.0000,0.8379,0.8350
24,563,467,1,0.41000000000000003,768,3.4483,3.6969,3.6994,0.1741,0.1679,0.1654,0.0008,0.9275,0.9651,1.0000,0.8511,0.8473
25,712,176,0,0.09,768,3.4820,3.6840,3.6888,0.1671,0.1679,0.1654,0.0470,0.7488,0.7709,1.0000,0.8570,0.8518
26,901,57,2,0.02,768,3.5111,3.6661,3.6733,0.1620,0.1679,0.1654,0.0166,0.7756,0.8124,1.0000,0.8627,0.8584
27,1141,968,2,0.15,768,3.5529,3.6330,3.6470,0.1639,0.1679,0.1654,0.0000,1.1733,1.2531,1.0000,0.8776,0.8716
28,1444,268,0,0.01,768,3.5507,3.6144,3.6332,0.1641,0.1679,0.1654,0.0792,0.6042,0.6300,0.9965,0.8835,0.8780
29,1827,270,0,0.3,768,3.5559,3.6201,3.6392,0.1565,0.1679,0.1654,0.0451,0.5349,0.5562,0.9989,0.8989,0.8943
30,2313,596,2,0.24,768,3.5344,3.6268,3.6454,0.1634,0.1679,0.1654,0.0076,0.6654,0.7262,0.9996,0.8990,0.8934
31,2927,694,0,0.49,768,3.5385,3.6268,3.6452,0.1609,0.1679,0.1654,0.0991,0.4897,0.5272,0.9846,0.9052,0.8999
32,3705,837,0,0.48,768,3.5485,3.6346,3.6531,0.1563,0.1679,0.1654,0.1100,0.4692,0.5000,0.9808,0.9116,0.9077
33,4689,487,2,0.4,768,3.5555,3.6332,3.6517,0.1536,0.1679,0.1654,0.0519,0.4394,0.4579,0.9889,0.9211,0.9176
34,5934,418,0,0.11,768,3.5514,3.6444,3.6628,0.1542,0.1679,0.1654,0.1148,0.4277,0.4517,0.9816,0.9171,0.9145
35,7510,407,0,0.05,768,3.5438,3.6513,3.6695,0.1575,0.1679,0.1654,0.1315,0.4101,0.4242,0.9780,0.9211,0.9181
36,9505,657,0,0.0,768,3.5602,3.6439,3.6576,0.1557,0.1679,0.1654,0.1440,0.3767,0.3749,0.9744,0.9239,0.9228
37,12029,442,1,0.22,768,3.5586,3.6414,3.6561,0.1554,0.1679,0.1654,0.0779,0.3330,0.3372,0.9848,0.9295,0.9275
38,15225,398,1,0.37,768,3.5516,3.6430,3.6572,0.1563,0.1679,0.1654,0.1186,0.3103,0.3109,0.9743,0.9323,0.9307
39,19268,369,2,0.04,768,3.5555,3.6402,3.6555,0.1567,0.1679,0.1654,0.0933,0.3193,0.3209,0.9803,0.9317,0.9309
40,24386,75,2,0.43,768,3.5683,3.6238,3.6403,0.1599,0.1679,0.1654,0.1533,0.3196,0.3212,0.9668,0.9319,0.9311
41,30863,179,1,0.18,768,3.5639,3.6223,3.6412,0.1650,0.1679,0.1654,0.1154,0.2751,0.2718,0.9750,0.9380,0.9377
42,39061,442,0,0.09,768,3.5763,3.6195,3.6353,0.1654,0.1679,0.1654,0.1400,0.2642,0.2566,0.9708,0.9421,0.9433
43,49436,111,0,0.14,768,3.5905,3.6100,3.6240,0.1666,0.1679,0.1654,0.1419,0.2459,0.2344,0.9709,0.9457,0.9468
44,62566,242,0,0.37,768,3.5959,3.6057,3.6198,0.1695,0.1679,0.1654,0.1710,0.2494,0.2381,0.9632,0.9446,0.9455
45,79184,107,0,0.35000000000000003,768,3.5932,3.6076,3.6199,0.1738,0.1679,0.1654,0.1407,0.2282,0.2144,0.9683,0.9490,0.9502
46,100217,150,0,0.11,768,3.5876,3.6064,3.6195,0.1765,0.1679,0.1654,0.1317,0.2185,0.2054,0.9709,0.9535,0.9533
