run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,768,3.4594,4.0004,3.9958,1.0000,0.0752,0.0831,0.0006,4.5856,4.5430,1.0000,0.0744,0.0815
1,2,433,2,0.27,768,3.5025,3.9713,3.9660,0.5000,0.0752,0.0831,0.0000,8.0386,7.9155,1.0000,0.1146,0.1199
2,3,310,1,0.38,768,3.2676,3.9820,3.9733,0.6667,0.0752,0.0831,0.0002,5.9826,5.8938,1.0000,0.1261,0.1380
3,4,300,1,0.42,768,3.1699,3.9714,3.9623,0.5000,0.0752,0.0831,0.0003,6.8937,6.7931,1.0000,0.1456,0.1477
4,5,1009,2,0.39,768,3.2925,3.9692,3.9623,0.4000,0.0752,0.0831,0.0000,14.3194,14.1634,1.0000,0.1453,0.1484
5,6,657,2,0.41000000000000003,768,3.3863,3.9095,3.9040,0.3333,0.0752,0.0831,0.0000,8.5739,8.4797,1.0000,0.1767,0.1775
6,8,455,2,0.23,768,3.3568,3.8946,3.8892,0.3750,0.0752,0.0831,0.0000,7.2735,7.2181,1.0000,0.2021,0.2035
7,10,103,2,0.09,768,3.1132,3.9285,3.9193,0.5000,0.0752,0.0831,0.0015,4.8168,4.7770,1.0000,0.1959,0.2002
8,13,203,2,0.14,768,2.9461,3.9414,3.9300,0.4615,0.0752,0.0831,0.0003,6.0432,5.9910,1.0000,0.1737,0.1785
9,16,150,1,0.31,768,3.1675,3.8732,3.8626,0.3750,0.0752,0.0831,0.0026,3.8212,3.8068,1.0000,0.2929,0.2984
10,21,72,0,0.15,768,3.2129,3.8286,3.8192,0.2857,0.0752,0.0831,0.0361,3.5727,3.5530,1.0000,0.3516,0.3535
11,26,467,2,0.27,768,3.1497,3.8512,3.8402,0.2692,0.0752,0.0831,0.0002,5.0144,4.9852,1.0000,0.3950,0.3971
12,33,377,2,0.5,768,3.1121,3.8367,3.8278,0.2121,0.0752,0.0831,0.0004,5.2475,5.2176,1.0000,0.3676,0.3651
13,42,436,0,0.44,768,3.2689,3.7583,3.7548,0.1905,0.1679,0.1654,0.0709,3.1348,3.1238,1.0000,0.4381,0.4431
14,53,382,0,0.1,768,3.3205,3.7439,3.7433,0.1887,0.1679,0.1654,0.0223,2.8985,2.8975,1.0000,0.4863,0.4891
15,68,326,2,0.5,768,3.4352,3.7196,3.7162,0.1618,0.1679,0.1654,0.0026,2.7074,2.6628,1.0000,0.5745,0.5720
16,85,326,2,0.49,768,3.3949,3.7616,3.7535,0.1529,0.0809,0.0809,0.0021,2.8590,2.8473,1.0000,0.5641,0.5593
17,108,247,2,0.44,768,3.4337,3.7425,3.7370,0.1667,0.0752,0.0831,0.0064,2.3230,2.3093,1.0000,0.5805,0.5811
18,137,179,2,0.05,768,3.4350,3.7201,3.7186,0.1460,0.1679,0.1654,0.0016,2.3177,2.3251,1.0000,0.6429,0.6372
19,173,137,2,0.02,768,3.4630,3.7018,3.7041,0.1618,0.1679,0.1654,0.0033,1.8107,1.8632,1.0000,0.6743,0.6660
20,219,786,2,0.23,768,3.4974,3.6720,3.6779,0.1553,0.1679,0.1654,0.0001,1.8276,1.9258,1.0000,0.7134,0.7061
21,278,410,1,0.31,768,3.4853,3.6824,3.6886,0.1655,0.1679,0.1654,0.0034,1.2793,1.3243,1.0000,0.7539,0.7428
22,351,388,1,0.37,768,3.4800,3.6781,3.6854,0.1681,0.1679,0.1654,0.0044,1.1926,1.2331,1.0000,0.7692,0.7641
23,445,38,2,0.25,768,3.4471,3.6918,3.6956,0.1685,0.1679,0.1654,0.0851,1.3209,1.3681,0.9978,0.7425,0.7366
24,563,467,1,0.41000000000000003,768,3.4483,3.6969,3.6994,0.1741,0.1679,0.1654,0.0054,1.1437,1.1789,1.0000,0.7810,0.7763
25,712,176,0,0.09,768,3.4820,3.6840,3.6888,0.1671,0.1679,0.1654,0.0544,1.0958,1.1268,1.0000,0.7907,0.7829
26,901,57,2,0.02,768,3.5111,3.6661,3.6733,0.1620,0.1679,0.1654,0.1447,1.1733,1.2009,0.9922,0.7699,0.7617
27,1141,968,2,0.15,768,3.5529,3.6330,3.6470,0.1639,0.1679,0.1654,0.0002,1.3531,1.4268,1.0000,0.8184,0.8159
28,1444,268,0,0.01,768,3.5507,3.6144,3.6332,0.1641,0.1679,0.1654,0.0858,0.8708,0.8980,1.0000,0.8296,0.8253
29,1827,270,0,0.3,768,3.5559,3.6201,3.6392,0.1565,0.1679,0.1654,0.0551,0.7712,0.7954,0.9995,0.8464,0.8466
