run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,272,3.4594,4.0004,3.9958,1.0000,0.0752,0.0831,0.0037,4.1897,4.1819,1.0000,0.0906,0.0911
1,2,433,2,0.27,145,3.5025,3.9713,3.9660,0.5000,0.0752,0.0831,0.0000,6.2689,6.2139,1.0000,0.1053,0.1078
2,3,310,1,0.38,182,3.2676,3.9820,3.9733,0.6667,0.0752,0.0831,0.0005,4.1900,4.1594,1.0000,0.1186,0.1285
3,4,300,1,0.42,205,3.1699,3.9714,3.9623,0.5000,0.0752,0.0831,0.0010,4.4176,4.3998,1.0000,0.0912,0.0927
4,5,1009,2,0.39,134,3.2925,3.9692,3.9623,0.4000,0.0752,0.0831,0.0000,12.6959,12.6009,1.0000,0.1101,0.1117
5,6,657,2,0.41000000000000003,245,3.3863,3.9095,3.9040,0.3333,0.0752,0.0831,0.0000,6.7744,6.7429,1.0000,0.1413,0.1382
6,8,455,2,0.23,133,3.3568,3.8946,3.8892,0.3750,0.0752,0.0831,0.0001,6.6231,6.6138,1.0000,0.0752,0.0817
7,10,103,2,0.09,108,3.1132,3.9285,3.9193,0.5000,0.0752,0.0831,0.0033,4.5903,4.5734,1.0000,0.0968,0.1016
8,13,203,2,0.14,93,2.9461,3.9414,3.9300,0.4615,0.0752,0.0831,0.0012,6.1506,6.1420,1.0000,0.1101,0.1176
9,16,150,1,0.31,212,3.1675,3.8732,3.8626,0.3750,0.0752,0.0831,0.0057,3.8430,3.8262,1.0000,0.1670,0.1739
10,21,72,0,0.15,103,3.2129,3.8286,3.8192,0.2857,0.0752,0.0831,0.3776,3.8947,3.8911,1.0000,0.1521,0.1569
11,26,467,2,0.27,113,3.1497,3.8512,3.8402,0.2692,0.0752,0.0831,0.0003,6.7556,6.7483,1.0000,0.1921,0.1976
12,33,377,2,0.5,99,3.1121,3.8367,3.8278,0.2121,0.0752,0.0831,0.0087,5.3723,5.3506,1.0000,0.2358,0.2375
13,42,436,0,0.44,148,3.2689,3.7583,3.7548,0.1905,0.1679,0.1654,0.4935,3.5081,3.5075,1.0000,0.2788,0.2757
14,53,382,0,0.1,165,3.3205,3.7439,3.7433,0.1887,0.1679,0.1654,0.3284,3.5899,3.5987,1.0000,0.2817,0.2792
15,68,326,2,0.5,60,3.4352,3.7196,3.7162,0.1618,0.1679,0.1654,0.3306,3.6167,3.6254,1.0000,0.3080,0.3102
16,85,326,2,0.49,84,3.3949,3.7616,3.7535,0.1529,0.0809,0.0809,0.1283,3.8286,3.8423,0.9882,0.3205,0.3187
17,108,247,2,0.44,238,3.4337,3.7425,3.7370,0.1667,0.0752,0.0831,0.0519,3.6638,3.6526,0.9815,0.3451,0.3409
18,137,179,2,0.05,122,3.4350,3.7201,3.7186,0.1460,0.1679,0.1654,0.0369,4.1001,4.0672,0.9854,0.3484,0.3489
19,173,137,2,0.02,144,3.4630,3.7018,3.7041,0.1618,0.1679,0.1654,0.0636,3.7151,3.6900,0.9827,0.3822,0.3837
20,219,786,2,0.23,79,3.4974,3.6720,3.6779,0.1553,0.1679,0.1654,0.0485,4.4189,4.3881,0.9863,0.4261,0.4264
21,278,410,1,0.31,159,3.4853,3.6824,3.6886,0.1655,0.1679,0.1654,0.0712,3.0911,3.1120,0.9892,0.4456,0.4429
22,351,388,1,0.37,154,3.4800,3.6781,3.6854,0.1681,0.1679,0.1654,0.1187,2.8963,2.8857,0.9886,0.4613,0.4646
23,445,38,2,0.25,148,3.4471,3.6918,3.6956,0.1685,0.1679,0.1654,0.7853,2.8258,2.8082,0.8674,0.4310,0.4355
24,563,467,1,0.41000000000000003,115,3.4483,3.6969,3.6994,0.1741,0.1679,0.1654,0.4046,2.7225,2.7117,0.9805,0.4804,0.4834
25,712,176,0,0.09,124,3.4820,3.6840,3.6888,0.1671,0.1679,0.1654,1.9202,3.1630,3.1433,0.6868,0.3916,0.3914
26,901,57,2,0.02,240,3.5111,3.6661,3.6733,0.1620,0.1679,0.1654,0.6882,2.4358,2.4718,0.9068,0.5097,0.5032
27,1141,968,2,0.15,50,3.5529,3.6330,3.6470,0.1639,0.1679,0.1654,0.1178,2.8009,2.8471,0.9711,0.5651,0.5580
28,1444,268,0,0.01,235,3.5507,3.6144,3.6332,0.1641,0.1679,0.1654,1.5528,2.7696,2.7684,0.7465,0.4799,0.4756
29,1827,270,0,0.3,144,3.5559,3.6201,3.6392,0.1565,0.1679,0.1654,1.1372,2.2752,2.3286,0.7564,0.5251,0.5173
30,2313,596,2,0.24,188,3.5344,3.6268,3.6454,0.1634,0.1679,0.1654,0.3797,1.8830,1.9410,0.9395,0.6223,0.6147
31,2927,694,0,0.49,59,3.5385,3.6268,3.6452,0.1609,0.1679,0.1654,2.1766,2.5230,2.5422,0.5196,0.4420,0.4411
32,3705,837,0,0.48,176,3.5485,3.6346,3.6531,0.1563,0.1679,0.1654,1.4420,2.0000,2.0567,0.6926,0.5577,0.5528
33,4689,487,2,0.4,75,3.5555,3.6332,3.6517,0.1536,0.1679,0.1654,0.5450,1.5031,1.5296,0.9147,0.6672,0.6618
34,5934,418,0,0.11,210,3.5514,3.6444,3.6628,0.1542,0.1679,0.1654,1.2265,2.0091,2.0512,0.7248,0.5790,0.5709
35,7510,407,0,0.05,85,3.5438,3.6513,3.6695,0.1575,0.1679,0.1654,1.7267,2.2631,2.3161,0.6119,0.5127,0.5052
36,9505,657,0,0.0,102,3.5602,3.6439,3.6576,0.1557,0.1679,0.1654,1.6861,2.1792,2.2292,0.6208,0.5313,0.5253
37,12029,442,1,0.22,225,3.5586,3.6414,3.6561,0.1554,0.1679,0.1654,0.3452,1.3557,1.3895,0.9392,0.7087,0.7031
38,15225,398,1,0.37,187,3.5516,3.6430,3.6572,0.1563,0.1679,0.1654,0.3236,1.2338,1.2453,0.9437,0.7329,0.7295
