run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,768,3.4594,4.0004,3.9958,1.0000,0.0752,0.0831,0.0151,4.5150,4.4854,1.0000,0.0752,0.0831
1,2,433,2,0.27,768,3.5025,3.9713,3.9660,0.5000,0.0752,0.0831,0.0000,8.4954,8.3816,1.0000,0.1305,0.1374
2,3,310,1,0.38,768,3.2676,3.9820,3.9733,0.6667,0.0752,0.0831,0.0011,5.8619,5.7905,1.0000,0.1156,0.1233
3,4,300,1,0.42,768,3.1699,3.9714,3.9623,0.5000,0.0752,0.0831,0.0015,6.3511,6.2777,1.0000,0.1917,0.1983
4,5,1009,2,0.39,768,3.2925,3.9692,3.9623,0.4000,0.0752,0.0831,0.0000,13.3955,13.3066,1.0000,0.2217,0.2211
5,6,657,2,0.41000000000000003,768,3.3863,3.9095,3.9040,0.3333,0.0752,0.0831,0.0002,8.7731,8.7386,1.0000,0.2487,0.2455
6,8,455,2,0.23,768,3.3568,3.8946,3.8892,0.3750,0.0752,0.0831,0.0002,8.4469,8.4386,1.0000,0.2629,0.2664
7,10,103,2,0.09,768,3.1132,3.9285,3.9193,0.5000,0.0752,0.0831,0.0040,6.0138,5.9844,1.0000,0.2306,0.2381
8,13,203,2,0.14,768,2.9461,3.9414,3.9300,0.4615,0.0752,0.0831,0.0011,7.6081,7.5744,1.0000,0.2284,0.2348
9,16,150,1,0.31,768,3.1675,3.8732,3.8626,0.3750,0.0752,0.0831,0.0106,4.0980,4.0770,1.0000,0.4078,0.4083
10,21,72,0,0.15,768,3.2129,3.8286,3.8192,0.2857,0.0752,0.0831,0.2135,3.6906,3.6660,1.0000,0.3736,0.3784
11,26,467,2,0.27,768,3.1497,3.8512,3.8402,0.2692,0.0752,0.0831,0.0003,7.1063,7.0740,1.0000,0.4031,0.4026
12,33,377,2,0.5,768,3.1121,3.8367,3.8278,0.2121,0.0752,0.0831,0.0056,6.1680,6.1131,1.0000,0.4394,0.4425
13,42,436,0,0.44,768,3.2689,3.7583,3.7548,0.1905,0.1679,0.1654,0.5303,3.2664,3.2539,1.0000,0.4176,0.4212
14,53,382,0,0.1,768,3.3205,3.7439,3.7433,0.1887,0.1679,0.1654,0.1541,2.9669,2.9606,1.0000,0.4796,0.4800
15,68,326,2,0.5,768,3.4352,3.7196,3.7162,0.1618,0.1679,0.1654,0.0333,3.1332,3.1304,1.0000,0.5730,0.5642
16,85,326,2,0.49,768,3.3949,3.7616,3.7535,0.1529,0.0809,0.0809,0.0351,3.2302,3.2330,1.0000,0.5760,0.5716
