run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,768,3.3692,3.9369,3.9485,1.0000,0.0295,0.0097,0.0040,6.5632,6.6107,1.0000,0.0295,0.0097
1,2,433,2,0.27,768,3.4150,3.9388,3.9574,0.5000,0.0750,0.0631,0.0000,15.4518,15.8284,1.0000,0.0886,0.0631
2,3,310,1,0.38,768,3.4594,3.8383,3.8939,0.3333,0.0750,0.0631,0.0014,7.7375,8.5666,1.0000,0.2659,0.1553
3,4,300,1,0.42,768,3.5025,3.7511,3.7950,0.2500,0.0750,0.0631,0.0033,5.1700,5.8708,1.0000,0.4205,0.3252
4,5,1009,2,0.39,768,3.5443,3.7610,3.7729,0.2000,0.0750,0.0631,0.0000,8.8682,9.3004,1.0000,0.4045,0.3762
5,6,657,2,0.41000000000000003,768,3.4466,3.7894,3.8095,0.3333,0.0295,0.0097,0.0002,6.6100,6.8720,1.0000,0.3750,0.3471
6,7,455,2,0.23,768,3.3873,3.7261,3.7725,0.2857,0.0295,0.0097,0.0001,7.0868,7.3699,1.0000,0.4682,0.4102
7,8,103,2,0.09,768,3.3517,3.7335,3.7848,0.2500,0.0750,0.0631,0.0053,4.5580,4.8421,1.0000,0.4909,0.4369
8,9,203,2,0.14,768,3.3315,3.6785,3.7215,0.2222,0.0750,0.0631,0.0009,5.4460,5.6538,1.0000,0.4614,0.4175
9,11,150,1,0.31,768,3.3452,3.7212,3.7707,0.2727,0.0295,0.0097,0.0065,4.1864,4.4475,1.0000,0.4636,0.4102
10,12,72,0,0.15,768,3.3005,3.6762,3.7460,0.2500,0.0295,0.0097,0.0259,3.8056,4.1297,1.0000,0.5000,0.4369
11,14,467,2,0.27,768,3.3123,3.6689,3.7604,0.2857,0.2477,0.1845,0.0002,7.2602,7.8429,1.0000,0.4750,0.3835
12,16,377,2,0.5,768,3.2284,3.6062,3.7053,0.3125,0.2477,0.1845,0.0012,5.2768,5.7190,1.0000,0.4523,0.4223
13,19,436,0,0.44,768,3.2628,3.6070,3.6858,0.3158,0.2477,0.1845,0.0966,3.7906,4.0098,1.0000,0.4864,0.4005
14,22,382,0,0.1,768,3.2534,3.5070,3.5812,0.3182,0.2477,0.1845,0.0685,3.2023,3.3856,1.0000,0.4750,0.4078
15,25,326,2,0.5,768,3.2925,3.4958,3.5842,0.3200,0.2477,0.1845,0.0035,3.0101,3.6454,1.0000,0.5818,0.5121
16,29,326,2,0.49,768,3.2668,3.4356,3.5035,0.3103,0.2477,0.1845,0.0026,2.8796,3.3023,1.0000,0.6068,0.5728
17,33,247,2,0.44,768,3.1988,3.3715,3.4346,0.3030,0.2477,0.1845,0.0040,2.7282,3.1156,1.0000,0.6727,0.6189
18,38,179,2,0.05,768,3.1643,3.3323,3.3669,0.2632,0.2477,0.1845,0.0014,3.0817,3.2621,1.0000,0.6386,0.6238
19,44,137,2,0.02,768,3.1723,3.3167,3.3429,0.2500,0.2477,0.1845,0.0028,2.5018,2.6684,1.0000,0.6705,0.6359
20,50,786,2,0.23,768,3.0956,3.2986,3.3360,0.2600,0.2477,0.1845,0.0000,3.7217,3.9907,1.0000,0.6818,0.6481
21,58,410,1,0.31,768,3.1162,3.3154,3.3330,0.2414,0.2477,0.1845,0.0029,2.5393,2.6517,1.0000,0.6659,0.6650
22,67,388,1,0.37,768,3.1033,3.3082,3.3010,0.2537,0.2227,0.2427,0.0039,2.6237,2.7132,1.0000,0.6455,0.6481
23,77,38,2,0.25,768,3.0437,3.2968,3.2921,0.2727,0.2227,0.2427,0.4578,2.2006,2.1627,0.9481,0.5523,0.5704
24,88,467,1,0.41000000000000003,768,3.0919,3.2944,3.2658,0.2500,0.2227,0.2427,0.0044,2.2825,2.1173,1.0000,0.6682,0.7015
25,102,176,0,0.09,768,3.0914,3.2847,3.2428,0.2549,0.2227,0.2427,0.1769,1.8098,1.6327,1.0000,0.6909,0.6917
26,117,57,2,0.02,768,3.0558,3.2519,3.2185,0.2479,0.2227,0.2427,0.0599,1.9006,1.7206,0.9915,0.6750,0.7039
27,135,968,2,0.15,768,3.0885,3.2537,3.2054,0.2296,0.2227,0.2427,0.0001,3.4394,3.1446,1.0000,0.6727,0.7282
28,155,268,0,0.01,768,3.0558,3.2311,3.1870,0.2194,0.2227,0.2427,0.2091,1.7229,1.5547,0.9935,0.6886,0.7087
29,179,270,0,0.3,768,3.0118,3.2186,3.1788,0.2235,0.2227,0.2427,0.2950,1.7694,1.5756,0.9832,0.7023,0.7282
30,206,596,2,0.24,768,2.9772,3.2160,3.1773,0.2233,0.2227,0.2427,0.0031,2.8600,2.4098,1.0000,0.6932,0.7257
31,237,694,0,0.49,768,2.9738,3.2121,3.1799,0.2236,0.2477,0.1845,0.4056,1.6309,1.5399,0.9747,0.7068,0.7136
32,273,837,0,0.48,768,2.9691,3.2264,3.1965,0.2271,0.2477,0.1845,0.4382,1.5730,1.4531,0.9634,0.7341,0.7257
33,314,487,2,0.4,768,2.9932,3.2352,3.2092,0.2293,0.2477,0.1845,0.0129,1.8887,1.6521,1.0000,0.7614,0.7670
34,362,418,0,0.11,768,3.0319,3.2361,3.2057,0.2155,0.2477,0.1845,0.1698,1.4774,1.3105,0.9972,0.7568,0.7670
35,417,407,0,0.05,768,3.0302,3.2475,3.2061,0.2086,0.2477,0.1845,0.4383,1.4737,1.3491,0.9664,0.7727,0.7670
36,480,657,0,0.0,768,3.0222,3.2486,3.2161,0.2229,0.2477,0.1845,0.4833,1.4482,1.3598,0.9521,0.7727,0.7597
37,552,442,1,0.22,768,3.0221,3.2661,3.2291,0.2192,0.2477,0.1845,0.0341,1.6526,1.5460,0.9982,0.7795,0.7816
38,636,398,1,0.37,768,3.0647,3.2704,3.2278,0.2091,0.2477,0.1845,0.0694,1.4929,1.4124,0.9953,0.7614,0.7670
39,732,369,2,0.04,768,3.0756,3.2638,3.2329,0.2172,0.2477,0.1845,0.0129,2.1731,2.0603,1.0000,0.7773,0.7694
40,843,75,2,0.43,768,3.0729,3.2547,3.2399,0.2289,0.2477,0.1845,0.3652,1.3215,1.2349,0.9217,0.8045,0.7985
41,971,179,1,0.18,768,3.0462,3.2546,3.2412,0.2317,0.2477,0.1845,0.1425,1.2724,1.2880,0.9794,0.8114,0.7718
42,1118,442,0,0.09,768,3.0578,3.2625,3.2406,0.2272,0.2477,0.1845,0.3408,1.1830,1.2257,0.9562,0.8045,0.7888
43,1287,111,0,0.14,768,3.0335,3.2698,3.2511,0.2300,0.2477,0.1845,0.3600,1.1561,1.1965,0.9510,0.8159,0.7816
44,1481,242,0,0.37,768,3.0191,3.2807,3.2624,0.2350,0.2477,0.1845,0.4154,1.1600,1.1983,0.9332,0.8227,0.7840
45,1706,107,0,0.35000000000000003,768,3.0191,3.2819,3.2689,0.2386,0.2477,0.1845,0.4236,1.1371,1.1747,0.9279,0.8250,0.7864
46,1964,150,0,0.11,768,3.0296,3.2919,3.2768,0.2378,0.2477,0.1845,0.4064,1.1333,1.1580,0.9328,0.8182,0.7864
47,2261,38,2,0.41000000000000003,768,3.0503,3.2770,3.2586,0.2375,0.2477,0.1845,0.5888,1.2962,1.1931,0.8815,0.7864,0.8131
48,2603,248,2,0.23,768,3.1370,3.2087,3.1817,0.2240,0.2477,0.1845,0.3282,0.9520,0.8890,0.9220,0.8386,0.8180
49,2997,670,1,0.29,768,3.1705,3.2029,3.1709,0.2149,0.2477,0.1845,0.2490,0.7994,0.7521,0.9523,0.8705,0.8325
