run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,300,3.3692,3.9369,3.9485,1.0000,0.0295,0.0097,0.6320,4.0449,4.0851,1.0000,0.0295,0.0121
1,2,433,2,0.27,300,3.4150,3.9388,3.9574,0.5000,0.0750,0.0631,0.0003,10.2424,10.8002,1.0000,0.0909,0.0704
2,3,310,1,0.38,300,3.4594,3.8383,3.8939,0.3333,0.0750,0.0631,0.0332,4.7153,5.0441,1.0000,0.1568,0.1262
3,4,300,1,0.42,300,3.5025,3.7511,3.7950,0.2500,0.0750,0.0631,0.0630,4.0685,4.3995,1.0000,0.3523,0.3495
4,5,1009,2,0.39,300,3.5443,3.7610,3.7729,0.2000,0.0750,0.0631,0.0007,9.8643,10.1322,1.0000,0.3273,0.3155
5,6,657,2,0.41000000000000003,300,3.4466,3.7894,3.8095,0.3333,0.0295,0.0097,0.0029,8.1640,8.2910,1.0000,0.3318,0.3204
6,7,455,2,0.23,300,3.3873,3.7261,3.7725,0.2857,0.0295,0.0097,0.0054,7.9620,7.8918,1.0000,0.3591,0.3592
7,8,103,2,0.09,300,3.3517,3.7335,3.7848,0.2500,0.0750,0.0631,0.2481,4.4093,4.4823,1.0000,0.3864,0.3908
8,9,203,2,0.14,300,3.3315,3.6785,3.7215,0.2222,0.0750,0.0631,0.0667,5.9905,6.1315,1.0000,0.3705,0.3641
9,11,150,1,0.31,300,3.3452,3.7212,3.7707,0.2727,0.0295,0.0097,0.3952,3.8112,3.8704,0.9091,0.4205,0.4199
10,12,72,0,0.15,300,3.3005,3.6762,3.7460,0.2500,0.0295,0.0097,1.2209,3.3629,3.3864,1.0000,0.4182,0.4248
11,14,467,2,0.27,300,3.3123,3.6689,3.7604,0.2857,0.2477,0.1845,0.0591,8.5295,8.5860,1.0000,0.3477,0.3544
12,16,377,2,0.5,300,3.2284,3.6062,3.7053,0.3125,0.2477,0.1845,0.3090,6.9973,7.3089,0.9375,0.3864,0.3883
13,19,436,0,0.44,300,3.2628,3.6070,3.6858,0.3158,0.2477,0.1845,1.5699,3.4508,3.4725,0.9474,0.4705,0.4490
14,22,382,0,0.1,300,3.2534,3.5070,3.5812,0.3182,0.2477,0.1845,1.4004,3.3891,3.3566,0.9545,0.4159,0.4175
15,25,326,2,0.5,300,3.2925,3.4958,3.5842,0.3200,0.2477,0.1845,0.6208,2.9378,3.3609,0.8800,0.5159,0.5049
16,29,326,2,0.49,300,3.2668,3.4356,3.5035,0.3103,0.2477,0.1845,0.6252,2.6262,2.9348,0.8621,0.4977,0.4636
17,33,247,2,0.44,300,3.1988,3.3715,3.4346,0.3030,0.2477,0.1845,0.6911,2.3678,2.6842,0.8182,0.5182,0.5024
18,38,179,2,0.05,300,3.1643,3.3323,3.3669,0.2632,0.2477,0.1845,0.3731,2.5019,2.8258,0.9211,0.5182,0.4927
19,44,137,2,0.02,300,3.1723,3.3167,3.3429,0.2500,0.2477,0.1845,0.4389,2.3551,2.6778,0.9318,0.5614,0.5631
