run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,272,3.3692,3.9369,3.9485,1.0000,0.0295,0.0097,0.0035,3.8225,3.8674,1.0000,0.1477,0.1238
1,2,433,2,0.27,145,3.4150,3.9388,3.9574,0.5000,0.0750,0.0631,0.0000,6.1240,6.3882,1.0000,0.0864,0.0534
2,3,310,1,0.38,182,3.4594,3.8383,3.8939,0.3333,0.0750,0.0631,0.0007,3.9349,4.1515,1.0000,0.1091,0.0607
3,4,300,1,0.42,205,3.5025,3.7511,3.7950,0.2500,0.0750,0.0631,0.0010,3.3829,3.5439,1.0000,0.2682,0.2427
4,5,1009,2,0.39,134,3.5443,3.7610,3.7729,0.2000,0.0750,0.0631,0.0000,6.4557,6.9269,1.0000,0.2614,0.1990
5,6,657,2,0.41000000000000003,245,3.4466,3.7894,3.8095,0.3333,0.0295,0.0097,0.0000,4.5870,4.7862,1.0000,0.2273,0.2451
6,7,455,2,0.23,133,3.3873,3.7261,3.7725,0.2857,0.0295,0.0097,0.0001,4.4882,4.7643,1.0000,0.3318,0.2549
7,8,103,2,0.09,108,3.3517,3.7335,3.7848,0.2500,0.0750,0.0631,0.0023,3.4262,3.5787,1.0000,0.2955,0.2160
8,9,203,2,0.14,93,3.3315,3.6785,3.7215,0.2222,0.0750,0.0631,0.0005,3.8942,4.1549,1.0000,0.2977,0.2136
9,11,150,1,0.31,212,3.3452,3.7212,3.7707,0.2727,0.0295,0.0097,0.0025,3.3164,3.5158,1.0000,0.2568,0.1869
10,12,72,0,0.15,103,3.3005,3.6762,3.7460,0.2500,0.0295,0.0097,0.1166,4.1196,4.1581,1.0000,0.1500,0.1383
11,14,467,2,0.27,113,3.3123,3.6689,3.7604,0.2857,0.2477,0.1845,0.0001,4.8357,5.1352,1.0000,0.2545,0.1942
