run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,768,3.1699,3.6996,3.7007,1.0000,0.0945,0.0926,0.0014,4.3652,4.3691,1.0000,0.0944,0.0926
1,2,433,2,0.27,768,3.2224,3.7304,3.7296,0.5000,0.0945,0.0926,0.0000,10.8002,10.7934,1.0000,0.0695,0.0757
2,3,310,1,0.38,768,3.2730,3.6749,3.6745,0.3333,0.0945,0.0926,0.0001,7.0202,7.0628,1.0000,0.1963,0.1950
3,4,300,1,0.42,768,3.1144,3.7085,3.7067,0.5000,0.0370,0.0404,0.0002,6.5000,6.5418,1.0000,0.1994,0.1986
4,5,1009,2,0.39,768,3.2032,3.7350,3.7346,0.4000,0.0370,0.0404,0.0000,12.5817,12.6607,1.0000,0.1994,0.1960
5,6,657,2,0.41000000000000003,768,3.2767,3.6287,3.6205,0.3333,0.0370,0.0404,0.0000,7.8576,7.7449,1.0000,0.2846,0.2890
6,7,455,2,0.23,768,3.2223,3.5652,3.5514,0.2857,0.2600,0.2734,0.0000,8.2298,8.0946,1.0000,0.3092,0.3199
7,9,103,2,0.09,768,3.2676,3.4979,3.4832,0.2222,0.0945,0.0926,0.0010,4.1263,4.0199,1.0000,0.2989,0.3090
8,11,203,2,0.14,768,3.3981,3.5296,3.5208,0.1818,0.0945,0.0926,0.0002,3.8292,3.7630,1.0000,0.3179,0.3185
9,13,150,1,0.31,768,3.2964,3.4914,3.4790,0.2308,0.0945,0.0926,0.0023,3.6202,3.5434,1.0000,0.3209,0.3299
10,16,72,0,0.15,768,3.2635,3.3745,3.3577,0.2500,0.2600,0.2734,0.0401,3.0376,2.9593,1.0000,0.4226,0.4433
11,20,467,2,0.27,768,3.2029,3.3799,3.3625,0.2500,0.0945,0.0926,0.0001,4.7019,4.4898,1.0000,0.4129,0.4422
12,24,377,2,0.5,768,3.2200,3.3893,3.3734,0.2500,0.0945,0.0926,0.0015,3.5523,3.3975,1.0000,0.4326,0.4612
13,29,436,0,0.44,768,3.2491,3.3090,3.2904,0.2069,0.0945,0.0926,0.1138,2.6503,2.5556,1.0000,0.4757,0.4980
14,36,382,0,0.1,768,3.1946,3.2496,3.2275,0.2500,0.2600,0.2734,0.0848,2.5495,2.4792,1.0000,0.4983,0.5200
15,44,326,2,0.5,768,3.1583,3.2265,3.1999,0.2727,0.2600,0.2734,0.0019,3.2306,3.0508,1.0000,0.5328,0.5600
16,53,326,2,0.49,768,3.1319,3.2123,3.1834,0.2642,0.2600,0.2734,0.0022,2.7911,2.6839,1.0000,0.5690,0.5867
17,65,247,2,0.44,768,3.0629,3.2077,3.1744,0.2923,0.2600,0.2734,0.0039,2.6126,2.4866,1.0000,0.5680,0.5827
18,79,179,2,0.05,768,3.0625,3.1735,3.1387,0.2785,0.2600,0.2734,0.0018,2.5827,2.4696,1.0000,0.5917,0.6123
19,97,137,2,0.02,768,2.9722,3.1678,3.1276,0.3093,0.2600,0.2734,0.0033,2.5603,2.4642,1.0000,0.5821,0.6036
20,118,786,2,0.23,768,2.9615,3.1447,3.1022,0.3051,0.2600,0.2734,0.0001,3.1464,3.0001,1.0000,0.6071,0.6233
21,144,410,1,0.31,768,2.9193,3.1159,3.0724,0.3264,0.2600,0.2734,0.0056,2.1858,2.0849,1.0000,0.6241,0.6440
22,175,388,1,0.37,768,2.9286,3.1021,3.0599,0.3086,0.2600,0.2734,0.0089,1.9439,1.8699,1.0000,0.6444,0.6609
23,214,38,2,0.25,768,2.9238,3.1093,3.0662,0.2991,0.2600,0.2734,0.6253,1.7606,1.6853,0.9159,0.6098,0.6316
24,261,467,1,0.41000000000000003,768,2.9639,3.0937,3.0527,0.3065,0.2600,0.2734,0.0129,1.8311,1.7697,1.0000,0.6744,0.6844
25,319,176,0,0.09,768,2.9209,3.0868,3.0418,0.3135,0.2600,0.2734,0.3928,1.6022,1.5293,0.9718,0.6570,0.6744
26,389,57,2,0.02,768,2.9200,3.0821,3.0370,0.2982,0.2600,0.2734,0.0899,1.6459,1.5406,1.0000,0.6777,0.6858
27,474,968,2,0.15,768,2.9156,3.0837,3.0375,0.3017,0.2600,0.2734,0.0003,2.3788,2.2624,1.0000,0.7123,0.7256
28,579,268,0,0.01,768,2.8954,3.0876,3.0380,0.3057,0.2600,0.2734,0.2387,1.3182,1.2562,0.9810,0.7163,0.7288
29,706,270,0,0.3,768,2.9369,3.0800,3.0346,0.2918,0.2600,0.2734,0.3347,1.2206,1.1718,0.9674,0.7322,0.7481
30,862,596,2,0.24,768,2.9659,3.0717,3.0290,0.2749,0.2600,0.2734,0.0037,1.4782,1.4517,1.0000,0.7573,0.7635
31,1051,694,0,0.49,768,2.9693,3.0693,3.0263,0.2712,0.2600,0.2734,0.3299,1.0758,1.0296,0.9524,0.7664,0.7725
32,1283,837,0,0.48,768,2.9607,3.0718,3.0283,0.2783,0.2600,0.2734,0.3548,1.0409,0.9994,0.9462,0.7761,0.7821
33,1565,487,2,0.4,768,2.9658,3.0676,3.0244,0.2754,0.2600,0.2734,0.0706,0.9147,0.8865,0.9936,0.8071,0.8151
34,1909,418,0,0.11,768,2.9911,3.0617,3.0194,0.2782,0.2600,0.2734,0.3573,0.8790,0.8480,0.9492,0.8000,0.8135
35,2330,407,0,0.05,768,3.0312,3.0575,3.0163,0.2712,0.2600,0.2734,0.3952,0.8058,0.7720,0.9343,0.8168,0.8272
36,2843,657,0,0.0,768,3.0535,3.0577,3.0172,0.2613,0.2600,0.2734,0.4356,0.7894,0.7531,0.9254,0.8243,0.8353
37,3469,442,1,0.22,768,3.0524,3.0570,3.0161,0.2603,0.2600,0.2734,0.2737,0.7109,0.6673,0.9461,0.8376,0.8490
38,4232,398,1,0.37,768,3.0470,3.0564,3.0138,0.2647,0.2600,0.2734,0.2344,0.6689,0.6254,0.9603,0.8504,0.8601
39,5164,369,2,0.04,768,3.0342,3.0560,3.0120,0.2705,0.2600,0.2734,0.2741,0.7270,0.6665,0.9479,0.8416,0.8555
40,6301,75,2,0.43,768,3.0334,3.0566,3.0125,0.2719,0.2600,0.2734,0.3784,0.6658,0.6173,0.9197,0.8543,0.8668
41,7688,179,1,0.18,768,3.0389,3.0558,3.0123,0.2713,0.2600,0.2734,0.3090,0.6263,0.5738,0.9382,0.8550,0.8713
42,9381,442,0,0.09,768,3.0230,3.0562,3.0124,0.2739,0.2600,0.2734,0.4163,0.6414,0.5950,0.9157,0.8568,0.8721
43,11446,111,0,0.14,768,3.0319,3.0554,3.0112,0.2717,0.2600,0.2734,0.4163,0.6199,0.5741,0.9118,0.8602,0.8758
44,13966,242,0,0.37,768,3.0245,3.0554,3.0112,0.2727,0.2600,0.2734,0.4237,0.5982,0.5494,0.9031,0.8637,0.8766
45,17040,107,0,0.35000000000000003,768,3.0259,3.0545,3.0106,0.2712,0.2600,0.2734,0.4477,0.5923,0.5425,0.8982,0.8633,0.8790
46,20792,150,0,0.11,768,3.0234,3.0545,3.0107,0.2710,0.2600,0.2734,0.4207,0.5674,0.5209,0.9066,0.8673,0.8841
47,25369,38,2,0.41000000000000003,768,3.0271,3.0544,3.0102,0.2706,0.2600,0.2734,0.5335,0.6466,0.5998,0.8860,0.8624,0.8749
48,30954,248,2,0.23,768,3.0310,3.0543,3.0100,0.2698,0.2600,0.2734,0.1550,0.4113,0.3847,0.9683,0.9056,0.9155
49,37769,670,1,0.29,768,3.0263,3.0542,3.0096,0.2703,0.2600,0.2734,0.1051,0.3617,0.3367,0.9826,0.9170,0.9249
