run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,300,3.1699,3.6996,3.7007,1.0000,0.0945,0.0926,0.7726,3.6897,3.6875,1.0000,0.1067,0.1058
1,2,433,2,0.27,300,3.2224,3.7304,3.7296,0.5000,0.0945,0.0926,0.0002,6.0700,6.0134,1.0000,0.0577,0.0619
2,3,310,1,0.38,300,3.2730,3.6749,3.6745,0.3333,0.0945,0.0926,0.0214,3.5648,3.5451,1.0000,0.2413,0.2434
3,4,300,1,0.42,300,3.1144,3.7085,3.7067,0.5000,0.0370,0.0404,0.0209,3.6868,3.6631,1.0000,0.2298,0.2334
4,5,1009,2,0.39,300,3.2032,3.7350,3.7346,0.4000,0.0370,0.0404,0.0001,8.5133,8.4223,1.0000,0.2391,0.2433
5,6,657,2,0.41000000000000003,300,3.2767,3.6287,3.6205,0.3333,0.0370,0.0404,0.0018,4.9036,4.7279,1.0000,0.3760,0.3989
6,7,455,2,0.23,300,3.2223,3.5652,3.5514,0.2857,0.2600,0.2734,0.0011,4.8363,4.6619,1.0000,0.4107,0.4255
7,9,103,2,0.09,300,3.2676,3.4979,3.4832,0.2222,0.0945,0.0926,0.1302,3.4805,3.3478,1.0000,0.3689,0.3758
8,11,203,2,0.14,300,3.3981,3.5296,3.5208,0.1818,0.0945,0.0926,0.0232,3.5216,3.4155,1.0000,0.3700,0.3733
9,13,150,1,0.31,300,3.2964,3.4914,3.4790,0.2308,0.0945,0.0926,0.4375,2.9268,2.8663,1.0000,0.3757,0.3772
10,16,72,0,0.15,300,3.2635,3.3745,3.3577,0.2500,0.2600,0.2734,0.2385,2.6951,2.6327,1.0000,0.4544,0.4671
11,20,467,2,0.27,300,3.2029,3.3799,3.3625,0.2500,0.0945,0.0926,0.0037,3.7903,3.6483,1.0000,0.4351,0.4394
12,24,377,2,0.5,300,3.2200,3.3893,3.3734,0.2500,0.0945,0.0926,0.1034,2.9697,2.8834,1.0000,0.4553,0.4572
13,29,436,0,0.44,300,3.2491,3.3090,3.2904,0.2069,0.0945,0.0926,0.3063,2.2654,2.2099,1.0000,0.5424,0.5525
14,36,382,0,0.1,300,3.1946,3.2496,3.2275,0.2500,0.2600,0.2734,0.2822,2.1983,2.1511,1.0000,0.5627,0.5736
15,44,326,2,0.5,300,3.1583,3.2265,3.1999,0.2727,0.2600,0.2734,0.3176,2.5430,2.4771,0.9773,0.5681,0.5841
16,53,326,2,0.49,300,3.1319,3.2123,3.1834,0.2642,0.2600,0.2734,0.2555,2.3668,2.3201,1.0000,0.5926,0.6049
17,65,247,2,0.44,300,3.0629,3.2077,3.1744,0.2923,0.2600,0.2734,0.4184,2.0948,2.0244,0.9385,0.5608,0.5705
18,79,179,2,0.05,300,3.0625,3.1735,3.1387,0.2785,0.2600,0.2734,0.2240,2.0145,1.9238,0.9873,0.6118,0.6251
19,97,137,2,0.02,300,2.9722,3.1678,3.1276,0.3093,0.2600,0.2734,0.4186,2.0315,1.9313,0.9485,0.5926,0.6011
20,118,786,2,0.23,300,2.9615,3.1447,3.1022,0.3051,0.2600,0.2734,0.0067,2.2085,2.0659,1.0000,0.6522,0.6634
