run,ndata,hidden_size,nlayers,dropout,embedding_size,train_loss,dev_loss,test_loss,train_acc,dev_acc,test_acc,base_train_loss,base_dev_loss,base_test_loss,base_train_acc,base_dev_acc,base_test_acc
0,1,776,0,0.09,272,3.1699,3.6996,3.7007,1.0000,0.0945,0.0926,0.0035,3.8477,3.8383,1.0000,0.1103,0.1146
1,2,433,2,0.27,145,3.2224,3.7304,3.7296,0.5000,0.0945,0.0926,0.0000,6.9526,6.9464,1.0000,0.0679,0.0633
2,3,310,1,0.38,182,3.2730,3.6749,3.6745,0.3333,0.0945,0.0926,0.0007,3.8098,3.7997,1.0000,0.1998,0.2044
3,4,300,1,0.42,205,3.1144,3.7085,3.7067,0.5000,0.0370,0.0404,0.0008,3.9577,3.9328,1.0000,0.1078,0.1110
4,5,1009,2,0.39,134,3.2032,3.7350,3.7346,0.4000,0.0370,0.0404,0.0000,10.3373,10.3479,1.0000,0.1122,0.1151
5,6,657,2,0.41000000000000003,245,3.2767,3.6287,3.6205,0.3333,0.0370,0.0404,0.0000,5.2847,5.1829,1.0000,0.1436,0.1489
6,7,455,2,0.23,133,3.2223,3.5652,3.5514,0.2857,0.2600,0.2734,0.0001,5.2298,5.1466,1.0000,0.1851,0.1927
7,9,103,2,0.09,108,3.2676,3.4979,3.4832,0.2222,0.0945,0.0926,0.0028,3.4336,3.3704,1.0000,0.1820,0.1912
8,11,203,2,0.14,93,3.3981,3.5296,3.5208,0.1818,0.0945,0.0926,0.0015,3.6773,3.6298,1.0000,0.1759,0.1747
9,13,150,1,0.31,212,3.2964,3.4914,3.4790,0.2308,0.0945,0.0926,0.0060,3.3385,3.3118,1.0000,0.1870,0.1894
10,16,72,0,0.15,103,3.2635,3.3745,3.3577,0.2500,0.2600,0.2734,0.2791,3.8796,3.8436,1.0000,0.1556,0.1624
11,20,467,2,0.27,113,3.2029,3.3799,3.3625,0.2500,0.0945,0.0926,0.0003,4.5137,4.4124,1.0000,0.2380,0.2524
12,24,377,2,0.5,99,3.2200,3.3893,3.3734,0.2500,0.0945,0.0926,0.0068,3.7996,3.7329,1.0000,0.2274,0.2383
13,29,436,0,0.44,148,3.2491,3.3090,3.2904,0.2069,0.0945,0.0926,0.3473,3.2787,3.2202,1.0000,0.2648,0.2828
14,36,382,0,0.1,165,3.1946,3.2496,3.2275,0.2500,0.2600,0.2734,0.2117,3.3551,3.3410,1.0000,0.2874,0.2898
15,44,326,2,0.5,60,3.1583,3.2265,3.1999,0.2727,0.2600,0.2734,0.0837,3.1999,3.1277,1.0000,0.3689,0.3817
16,53,326,2,0.49,84,3.1319,3.2123,3.1834,0.2642,0.2600,0.2734,0.0476,3.3917,3.2822,1.0000,0.3580,0.3726
17,65,247,2,0.44,238,3.0629,3.2077,3.1744,0.2923,0.2600,0.2734,0.0056,3.2999,3.1785,1.0000,0.3748,0.3949
18,79,179,2,0.05,122,3.0625,3.1735,3.1387,0.2785,0.2600,0.2734,0.0048,3.5253,3.4179,1.0000,0.3711,0.3809
19,97,137,2,0.02,144,2.9722,3.1678,3.1276,0.3093,0.2600,0.2734,0.0076,3.3789,3.2406,1.0000,0.3839,0.4062
20,118,786,2,0.23,79,2.9615,3.1447,3.1022,0.3051,0.2600,0.2734,0.0006,4.7696,4.4776,1.0000,0.3973,0.4237
21,144,410,1,0.31,159,2.9193,3.1159,3.0724,0.3264,0.2600,0.2734,0.0195,3.1050,2.9724,1.0000,0.4074,0.4273
22,175,388,1,0.37,154,2.9286,3.1021,3.0599,0.3086,0.2600,0.2734,0.0441,2.9804,2.8439,1.0000,0.4110,0.4313
23,214,38,2,0.25,148,2.9238,3.1093,3.0662,0.2991,0.2600,0.2734,1.4429,2.6958,2.6059,0.7150,0.3708,0.3868
24,261,467,1,0.41000000000000003,115,2.9639,3.0937,3.0527,0.3065,0.2600,0.2734,0.2166,2.6782,2.5446,1.0000,0.4503,0.4643
25,319,176,0,0.09,124,2.9209,3.0868,3.0418,0.3135,0.2600,0.2734,1.8857,3.1787,3.1404,0.6708,0.3169,0.3258
26,389,57,2,0.02,240,2.9200,3.0821,3.0370,0.2982,0.2600,0.2734,0.3323,2.9060,2.8189,0.9743,0.4422,0.4560
27,474,968,2,0.15,50,2.9156,3.0837,3.0375,0.3017,0.2600,0.2734,0.0123,3.8373,3.5954,0.9979,0.4721,0.4931
28,579,268,0,0.01,235,2.8954,3.0876,3.0380,0.3057,0.2600,0.2734,1.4995,3.1557,3.1145,0.7737,0.3607,0.3708
29,706,270,0,0.3,144,2.9369,3.0800,3.0346,0.2918,0.2600,0.2734,1.0191,2.7021,2.5811,0.7946,0.4519,0.4624
30,862,596,2,0.24,188,2.9659,3.0717,3.0290,0.2749,0.2600,0.2734,0.0200,3.3204,3.1988,0.9942,0.4930,0.5017
31,1051,694,0,0.49,59,2.9693,3.0693,3.0263,0.2712,0.2600,0.2734,1.9234,2.4119,2.3310,0.5423,0.4255,0.4359
32,1283,837,0,0.48,176,2.9607,3.0718,3.0283,0.2783,0.2600,0.2734,1.4216,2.2811,2.2086,0.6711,0.4841,0.4916
33,1565,487,2,0.4,75,2.9658,3.0676,3.0244,0.2754,0.2600,0.2734,0.6424,1.8754,1.8129,0.9553,0.5808,0.5895
34,1909,418,0,0.11,210,2.9911,3.0617,3.0194,0.2782,0.2600,0.2734,1.1649,2.3245,2.3193,0.7260,0.5124,0.5134
35,2330,407,0,0.05,85,3.0312,3.0575,3.0163,0.2712,0.2600,0.2734,1.7428,2.1452,2.1164,0.5794,0.4947,0.4991
36,2843,657,0,0.0,102,3.0535,3.0577,3.0172,0.2613,0.2600,0.2734,1.6284,2.1299,2.0878,0.6060,0.5046,0.5026
37,3469,442,1,0.22,225,3.0524,3.0570,3.0161,0.2603,0.2600,0.2734,0.7408,1.6114,1.5983,0.8876,0.6196,0.6229
38,4232,398,1,0.37,187,3.0470,3.0564,3.0138,0.2647,0.2600,0.2734,0.5596,1.4812,1.4613,0.9390,0.6462,0.6489
39,5164,369,2,0.04,195,3.0342,3.0560,3.0120,0.2705,0.2600,0.2734,0.4173,1.5645,1.5494,0.9400,0.6531,0.6540
40,6301,75,2,0.43,230,3.0334,3.0566,3.0125,0.2719,0.2600,0.2734,1.1078,1.4345,1.4198,0.7083,0.6380,0.6433
41,7688,179,1,0.18,187,3.0389,3.0558,3.0123,0.2713,0.2600,0.2734,0.4848,1.3335,1.2974,0.9365,0.6871,0.6999
42,9381,442,0,0.09,112,3.0230,3.0562,3.0124,0.2739,0.2600,0.2734,1.7681,1.9129,1.8623,0.5629,0.5429,0.5499
43,11446,111,0,0.14,188,3.0319,3.0554,3.0112,0.2717,0.2600,0.2734,1.5825,1.7535,1.7211,0.6071,0.5683,0.5847
44,13966,242,0,0.37,94,3.0245,3.0554,3.0112,0.2727,0.2600,0.2734,1.9149,1.9863,1.9425,0.5406,0.5249,0.5332
45,17040,107,0,0.35000000000000003,182,3.0259,3.0545,3.0106,0.2712,0.2600,0.2734,1.6310,1.7312,1.6946,0.5994,0.5748,0.5846
46,20792,150,0,0.11,215,3.0234,3.0545,3.0107,0.2710,0.2600,0.2734,1.5733,1.6847,1.6501,0.6058,0.5834,0.5872
47,25369,38,2,0.41000000000000003,292,3.0271,3.0544,3.0102,0.2706,0.2600,0.2734,1.4739,1.5251,1.5097,0.6098,0.5985,0.6038
48,30954,248,2,0.23,98,3.0310,3.0543,3.0100,0.2698,0.2600,0.2734,0.6410,0.9492,0.9506,0.8554,0.7649,0.7588
49,37769,670,1,0.29,67,3.0263,3.0542,3.0096,0.2703,0.2600,0.2734,0.8363,1.0519,1.0546,0.8037,0.7387,0.7371
