	run	ndata	hidden_size	nlayers	dropout	embedding_size	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	base_train_loss	base_dev_loss	base_test_loss	base_train_acc	base_dev_acc	base_test_acc	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
0	0	1	776	0	0.09	768	5.015	5.5224	5.5219	1.0	0.1325	0.1333	0.0	5.9056	5.8918	1.0	0.1325	0.1333	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
1	1	2	433	2	0.27	768	5.0297	5.5319	5.5304	0.5	0.0092	0.0109	0.0	8.7514	8.6742	1.0	0.1172	0.1202	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
2	2	3	310	1	0.38	768	4.7677	5.4915	5.4897	0.6667	0.1325	0.1333	0.0002	7.703	7.6557	1.0	0.1339	0.1349	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
3	3	4	300	1	0.42	768	4.8514	5.4744	5.4744	0.5	0.1325	0.1333	0.0004	7.4185	7.3603	1.0	0.1491	0.1482	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
4	4	5	1009	2	0.39	768	4.9072	5.4385	5.4386	0.4	0.1325	0.1333	0.0	10.9694	10.897	1.0	0.1608	0.1628	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
5	5	6	657	2	0.41	768	4.9491	5.4467	5.4476	0.3333	0.1325	0.1333	0.0	7.5064	7.4754	1.0	0.1629	0.165	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
6	6	8	455	2	0.23	768	4.908	5.4397	5.4411	0.25	0.0092	0.0109	0.0	8.2837	8.2586	1.0	0.1476	0.153	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
7	7	10	103	2	0.09	768	4.7008	5.4216	5.4221	0.3	0.0092	0.0109	0.0013	5.8997	5.9133	1.0	0.1559	0.1603	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
8	8	13	203	2	0.14	768	4.5678	5.3785	5.378	0.3077	0.0092	0.0109	0.0003	6.132	6.1445	1.0	0.2195	0.2192	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
9	9	16	150	1	0.31	768	4.6705	5.3296	5.3292	0.25	0.0092	0.0109	0.0022	5.1197	5.1343	1.0	0.2414	0.2385	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
10	10	21	72	0	0.15	768	4.6939	5.2563	5.2569	0.1905	0.0092	0.0109	0.0011	5.0519	5.0626	1.0	0.2639	0.2684	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
11	11	26	467	2	0.27	768	4.5853	5.2066	5.2091	0.1923	0.1325	0.1333	0.0003	5.9701	5.9707	1.0	0.2797	0.2799	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
12	12	33	377	2	0.5	768	4.4091	5.14	5.1428	0.2121	0.1325	0.1333	0.0019	6.9808	6.9803	1.0	0.2874	0.2859	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
13	13	42	436	0	0.44	768	4.5329	5.0996	5.1013	0.1667	0.1325	0.1333	0.0339	5.0843	5.0632	1.0	0.3105	0.3134	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
14	14	53	382	0	0.1	768	4.5302	5.052	5.0532	0.1887	0.1325	0.1333	0.0109	5.0665	5.0644	1.0	0.344	0.3445	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
15	15	67	326	2	0.5	768	4.5732	5.0467	5.0505	0.1642	0.1325	0.1333	0.0082	5.4198	5.4032	1.0	0.382	0.3862	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
16	16	84	326	2	0.49	768	4.4723	4.9956	4.9975	0.1548	0.0871	0.0859	0.0087	5.0262	4.9879	1.0	0.3779	0.3821	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
17	17	106	247	2	0.44	768	4.5024	4.9224	4.9228	0.1415	0.0871	0.0859	0.0152	4.1867	4.1665	1.0	0.413	0.4184	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
18	18	134	179	2	0.05	768	4.4543	4.879	4.8771	0.1418	0.0871	0.0859	0.0035	4.7233	4.6688	1.0	0.4402	0.4422	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
19	19	170	137	2	0.02	768	4.5188	4.7848	4.7849	0.1235	0.0871	0.0859	0.0077	3.5558	3.5376	1.0	0.4767	0.4846	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
20	20	215	786	2	0.23	768	4.4632	4.7362	4.7369	0.1302	0.0788	0.0795	0.0003	3.8044	3.8408	1.0	0.5095	0.5128	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
21	21	271	410	1	0.31	768	4.451	4.6909	4.6923	0.1218	0.0871	0.0859	0.0049	2.6692	2.6993	1.0	0.5454	0.5453	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
22	22	343	388	1	0.37	768	4.4696	4.6608	4.6669	0.1254	0.0871	0.0859	0.0065	2.3701	2.412	1.0	0.5821	0.5811	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
23	23	433	38	2	0.25	768	4.4121	4.6623	4.6696	0.1316	0.0871	0.0859	0.2691	2.5605	2.5923	0.9931	0.5331	0.5388	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
24	24	548	467	1	0.41	768	4.3892	4.6403	4.6492	0.1296	0.0871	0.0859	0.0093	2.1909	2.2165	1.0	0.6231	0.6246	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
25	25	692	176	0	0.09	768	4.4028	4.6129	4.6255	0.1272	0.0871	0.0859	0.0537	2.2366	2.2489	1.0	0.623	0.6236	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
26	26	875	57	2	0.02	768	4.4205	4.5923	4.6057	0.1223	0.0871	0.0859	0.1899	2.3714	2.3418	0.9954	0.5989	0.6011	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
27	27	1106	968	2	0.15	768	4.4684	4.5463	4.5648	0.1103	0.0871	0.0859	0.0009	2.4469	2.513	1.0	0.691	0.6875	bert	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
