	run	ndata	hidden_size	nlayers	dropout	embedding_size	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	base_train_loss	base_dev_loss	base_test_loss	base_train_acc	base_dev_acc	base_test_acc	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
0	0	1	776	0	0.09	768	3.4594	4.0004	3.9958	1.0	0.0752	0.0831	0.0006	4.5856	4.543	1.0	0.0744	0.0815	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
1	1	2	433	2	0.27	768	3.5025	3.9713	3.966	0.5	0.0752	0.0831	0.0	8.0386	7.9155	1.0	0.1146	0.1199	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
2	2	3	310	1	0.38	768	3.2676	3.982	3.9733	0.6667	0.0752	0.0831	0.0002	5.9826	5.8938	1.0	0.1261	0.138	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
3	3	4	300	1	0.42	768	3.1699	3.9714	3.9623	0.5	0.0752	0.0831	0.0003	6.8937	6.7931	1.0	0.1456	0.1477	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
4	4	5	1009	2	0.39	768	3.2925	3.9692	3.9623	0.4	0.0752	0.0831	0.0	14.3194	14.1634	1.0	0.1453	0.1484	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
5	5	6	657	2	0.41	768	3.3863	3.9095	3.904	0.3333	0.0752	0.0831	0.0	8.5739	8.4797	1.0	0.1767	0.1775	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
6	6	8	455	2	0.23	768	3.3568	3.8946	3.8892	0.375	0.0752	0.0831	0.0	7.2735	7.2181	1.0	0.2021	0.2035	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
7	7	10	103	2	0.09	768	3.1132	3.9285	3.9193	0.5	0.0752	0.0831	0.0015	4.8168	4.777	1.0	0.1959	0.2002	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
8	8	13	203	2	0.14	768	2.9461	3.9414	3.93	0.4615	0.0752	0.0831	0.0003	6.0432	5.991	1.0	0.1737	0.1785	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
9	9	16	150	1	0.31	768	3.1675	3.8732	3.8626	0.375	0.0752	0.0831	0.0026	3.8212	3.8068	1.0	0.2929	0.2984	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
10	10	21	72	0	0.15	768	3.2129	3.8286	3.8192	0.2857	0.0752	0.0831	0.0361	3.5727	3.553	1.0	0.3516	0.3535	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
11	11	26	467	2	0.27	768	3.1497	3.8512	3.8402	0.2692	0.0752	0.0831	0.0002	5.0144	4.9852	1.0	0.395	0.3971	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
12	12	33	377	2	0.5	768	3.1121	3.8367	3.8278	0.2121	0.0752	0.0831	0.0004	5.2475	5.2176	1.0	0.3676	0.3651	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
13	13	42	436	0	0.44	768	3.2689	3.7583	3.7548	0.1905	0.1679	0.1654	0.0709	3.1348	3.1238	1.0	0.4381	0.4431	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
14	14	53	382	0	0.1	768	3.3205	3.7439	3.7433	0.1887	0.1679	0.1654	0.0223	2.8985	2.8975	1.0	0.4863	0.4891	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
15	15	68	326	2	0.5	768	3.4352	3.7196	3.7162	0.1618	0.1679	0.1654	0.0026	2.7074	2.6628	1.0	0.5745	0.572	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
16	16	85	326	2	0.49	768	3.3949	3.7616	3.7535	0.1529	0.0809	0.0809	0.0021	2.859	2.8473	1.0	0.5641	0.5593	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
17	17	108	247	2	0.44	768	3.4337	3.7425	3.737	0.1667	0.0752	0.0831	0.0064	2.323	2.3093	1.0	0.5805	0.5811	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
18	18	137	179	2	0.05	768	3.435	3.7201	3.7186	0.146	0.1679	0.1654	0.0016	2.3177	2.3251	1.0	0.6429	0.6372	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
19	19	173	137	2	0.02	768	3.463	3.7018	3.7041	0.1618	0.1679	0.1654	0.0033	1.8107	1.8632	1.0	0.6743	0.666	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
20	20	219	786	2	0.23	768	3.4974	3.672	3.6779	0.1553	0.1679	0.1654	0.0001	1.8276	1.9258	1.0	0.7134	0.7061	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
21	21	278	410	1	0.31	768	3.4853	3.6824	3.6886	0.1655	0.1679	0.1654	0.0034	1.2793	1.3243	1.0	0.7539	0.7428	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
22	22	351	388	1	0.37	768	3.48	3.6781	3.6854	0.1681	0.1679	0.1654	0.0044	1.1926	1.2331	1.0	0.7692	0.7641	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
23	23	445	38	2	0.25	768	3.4471	3.6918	3.6956	0.1685	0.1679	0.1654	0.0851	1.3209	1.3681	0.9978	0.7425	0.7366	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
24	24	563	467	1	0.41	768	3.4483	3.6969	3.6994	0.1741	0.1679	0.1654	0.0054	1.1437	1.1789	1.0	0.781	0.7763	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
25	25	712	176	0	0.09	768	3.482	3.684	3.6888	0.1671	0.1679	0.1654	0.0544	1.0958	1.1268	1.0	0.7907	0.7829	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
26	26	901	57	2	0.02	768	3.5111	3.6661	3.6733	0.162	0.1679	0.1654	0.1447	1.1733	1.2009	0.9922	0.7699	0.7617	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
27	27	1141	968	2	0.15	768	3.5529	3.633	3.647	0.1639	0.1679	0.1654	0.0002	1.3531	1.4268	1.0	0.8184	0.8159	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
28	28	1444	268	0	0.01	768	3.5507	3.6144	3.6332	0.1641	0.1679	0.1654	0.0858	0.8708	0.898	1.0	0.8296	0.8253	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
29	29	1827	270	0	0.3	768	3.5559	3.6201	3.6392	0.1565	0.1679	0.1654	0.0551	0.7712	0.7954	0.9995	0.8464	0.8466	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
30	30	2313	596	2	0.24	768	3.5344	3.6268	3.6454	0.1634	0.1679	0.1654	0.028	0.8302	0.8691	0.9983	0.85	0.8455	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
31	31	2927	694	0	0.49	768	3.5385	3.6268	3.6452	0.1609	0.1679	0.1654	0.1111	0.6947	0.7245	0.9898	0.865	0.8624	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
32	32	3705	837	0	0.48	768	3.5485	3.6346	3.6531	0.1563	0.1679	0.1654	0.1218	0.6514	0.6822	0.986	0.8734	0.8708	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
33	33	4689	487	2	0.4	768	3.5555	3.6332	3.6517	0.1536	0.1679	0.1654	0.1073	0.6238	0.6688	0.981	0.8753	0.8695	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
34	34	5934	418	0	0.11	768	3.5514	3.6444	3.6628	0.1542	0.1679	0.1654	0.1615	0.6402	0.6686	0.9826	0.8799	0.8755	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
35	35	7510	407	0	0.05	768	3.5438	3.6513	3.6695	0.1575	0.1679	0.1654	0.1019	0.6025	0.6203	0.9901	0.8833	0.8794	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
36	36	9505	657	0	0.0	768	3.5602	3.6439	3.6576	0.1557	0.1679	0.1654	0.1321	0.5631	0.5735	0.9854	0.8886	0.8864	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
37	37	12029	442	1	0.22	768	3.5586	3.6414	3.6561	0.1554	0.1679	0.1654	0.0711	0.498	0.5167	0.9891	0.8994	0.8956	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
38	38	15225	398	1	0.37	768	3.5516	3.643	3.6572	0.1563	0.1679	0.1654	0.086	0.4252	0.4395	0.9853	0.9085	0.9032	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
39	39	19268	369	2	0.04	768	3.5555	3.6402	3.6555	0.1567	0.1679	0.1654	0.1531	0.4846	0.4902	0.9684	0.9	0.8978	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
40	40	24386	75	2	0.43	768	3.5683	3.6238	3.6403	0.1599	0.1679	0.1654	0.1609	0.4324	0.4484	0.9688	0.9109	0.9054	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
41	41	30863	179	1	0.18	768	3.5639	3.6223	3.6412	0.165	0.1679	0.1654	0.106	0.3728	0.3779	0.9782	0.9177	0.9165	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
42	42	39061	442	0	0.09	768	3.5763	3.6195	3.6353	0.1654	0.1679	0.1654	0.1914	0.3837	0.3839	0.9627	0.9191	0.9184	bert	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
